medium	description	compound	name
M9_base	M9 minimal medium base (no carbon substrate)	ca2	Ca2+
M9_base	M9 minimal medium base (no carbon substrate)	cl	Cl-
M9_base	M9 minimal medium base (no carbon substrate)	cobalt2	Co2+
M9_base	M9 minimal medium base (no carbon substrate)	cu2	Cu2+
M9_base	M9 minimal medium base (no carbon substrate)	fe2	Fe2+
M9_base	M9 minimal medium base (no carbon substrate)	fe3	Fe3+
M9_base	M9 minimal medium base (no carbon substrate)	h2o	H2O
M9_base	M9 minimal medium base (no carbon substrate)	h	H+
M9_base	M9 minimal medium base (no carbon substrate)	k	K+
M9_base	M9 minimal medium base (no carbon substrate)	mg2	Mg
M9_base	M9 minimal medium base (no carbon substrate)	mn2	Mn2+
M9_base	M9 minimal medium base (no carbon substrate)	mobd	Molybdate
M9_base	M9 minimal medium base (no carbon substrate)	na1	Na+
M9_base	M9 minimal medium base (no carbon substrate)	nh4	Ammonium
M9_base	M9 minimal medium base (no carbon substrate)	ni2	Ni2+
M9_base	M9 minimal medium base (no carbon substrate)	o2	O2
M9_base	M9 minimal medium base (no carbon substrate)	pi	Phosphate
M9_base	M9 minimal medium base (no carbon substrate)	so4	Sulfate
M9_base	M9 minimal medium base (no carbon substrate)	zn2	Zn2+
