Plate	Well	Column	Row	Biolog_name	BiGG	include
PM1	A2	A	2	L-Arabinose	arab__L	1
PM1	A3	A	3	N-Acetyl-D-Glucosamine	acgam	1
PM1	A4	A	4	D-Saccharic Acid	glcr	1
PM1	A5	A	5	Succinic Acid	succ	1
PM1	A6	A	6	D-Galactose	gal	1
PM1	A7	A	7	L-Aspartic Acid	asp__L	1
PM1	A8	A	8	L-Proline	pro__L	1
PM1	A9	A	9	D-Alanine	ala__D	1
PM1	A10	A	10	D-Trehalose	tre	1
PM1	A11	A	11	D-Mannose	man	1
PM1	A12	A	12	Dulcitol	galt	1
PM1	B1	B	1	D-Serine	ser__D	1
PM1	B2	B	2	D-Sorbitol	sbt__D	1
PM1	B3	B	3	Glycerol	glyc	1
PM1	B4	B	4	L-Fucose	fuc__L	1
PM1	B5	B	5	D-Glucuronic Acid	glcur	1
PM1	B6	B	6	D-Gluconic Acid	glcn	1
PM1	B7	B	7	"D,L-alpha-Glycerol-Phosphate"	glyc3p	1
PM1	B8	B	8	D-Xylose	xyl__D	1
PM1	B9	B	9	L-Lactic Acid	lac__L	1
PM1	B10	B	10	Formic Acid	for	1
PM1	B11	B	11	D-Mannitol	mnl	1
PM1	B12	B	12	L-Glutamic Acid	glu__L	1
PM1	C1	C	1	D-Glucose-6-Phosphate	g6p	1
PM1	C2	C	2	D-Galactonic Acid-gamma-Lactone		1
PM1	C3	C	3	"D,L-Malic Acid"	mal__D	1
PM1	C4	C	4	D-Ribose	rib__D	1
PM1	C5	C	5	Tween 20		0
PM1	C6	C	6	L-Rhamnose	rmn	1
PM1	C7	C	7	D-Fructose	fru	1
PM1	C8	C	8	Acetic Acid	ac	1
PM1	C9	C	9	alpha-D-Glucose	glc__D	1
PM1	C10	C	10	Maltose	malt	1
PM1	C11	C	11	D-Melibiose	melib	1
PM1	C12	C	12	Thymidine	thymd	1
PM1	D1	D	1	L-Asparagine	asn__L	1
PM1	D2	D	2	D-Aspartic Acid	asp__D	1
PM1	D3	D	3	D-Glucosaminic Acid	gam	1
PM1	D4	D	4	"1,2-Propanediol"	13ppd	1
PM1	D5	D	5	Tween 40		0
PM1	D6	D	6	alpha-Keto-Glutaric Acid	akg	1
PM1	D7	D	7	alpha-Keto-Butyric Acid		1
PM1	D8	D	8	alpha-Methyl-D-Galactoside		1
PM1	D9	D	9	alpha-D-Lactose	lcts	1
PM1	D10	D	10	Lactulose		1
PM1	D11	D	11	Sucrose	sucr	1
PM1	D12	D	12	Uridine	uri	1
PM1	E1	E	1	L-Glutamine	gln__L	1
PM1	E2	E	2	m-Tartaric Acid	tartr__M	0
PM1	E3	E	3	D-Glucose-1-Phosphate	g1p	1
PM1	E4	E	4	D-Fructose-6-Phosphate	f6p	1
PM1	E5	E	5	Tween 80		0
PM1	E6	E	6	alpha-Hydroxy Glutaric Acid-gamma-Lactone		1
PM1	E7	E	7	alpha-Hydroxy Butyric Acid	2hb	0
PM1	E8	E	8	beta-Methyl-D-Glucoside	amdglc	0
PM1	E9	E	9	Adonitol		1
PM1	E10	E	10	Maltotriose	malttr	1
PM1	E11	E	11	2-Deoxy Adenosine	dad_2	1
PM1	E12	E	12	Adenosine	adn	1
PM1	F1	F	1	Glycyl-L-Aspartic Acid	gly_asp__L	1
PM1	F2	F	2	Citric Acid	cit	1
PM1	F3	F	3	m-Inositol	inost	1
PM1	F4	F	4	D-Threonine		1
PM1	F5	F	5	Fumaric Acid	fum	1
PM1	F6	F	6	Bromo Succinic Acid		1
PM1	F7	F	7	Propionic Acid	ppa	1
PM1	F8	F	8	Mucic Acid	galct__D	1
PM1	F9	F	9	Glycolic Acid	glyclt	1
PM1	F10	F	10	Glyoxylic Acid	glx	1
PM1	F11	F	11	D-Cellobiose	cellb	1
PM1	F12	F	12	Inosine	ins	1
PM1	G1	G	1	Glycyl-L-Glutamic Acid	glyglu	1
PM1	G2	G	2	Tricarballylic Acid	tcb	1
PM1	G3	G	3	L-Serine	ser__L	1
PM1	G4	G	4	L-Threonine	thr__L	1
PM1	G5	G	5	L-Alanine	ala__L	1
PM1	G6	G	6	L-Alanyl-Glycine	alagly	1
PM1	G7	G	7	Acetoacetic Acid	acac	1
PM1	G8	G	8	N-Acetyl-beta-D-Mannosamine	acmana	1
PM1	G9	G	9	Mono Methyl Succinate	methsucc	0
PM1	G10	G	10	Methyl Pyruvate	2mop	0
PM1	G11	G	11	D-Malic Acid	mal__D	1
PM1	G12	G	12	L-Malic Acid	mal__L	1
PM1	H1	H	1	Glycyl-L-Proline	glypro	0
PM1	H2	H	2	p-Hydroxy Phenyl Acetic Acid	3hoxpac	1
PM1	H3	H	3	m-Hydroxy Phenyl Acetic Acid	4hoxpac	1
PM1	H4	H	4	Tyramine	tym	0
PM1	H5	H	5	D-Psicose		1
PM1	H6	H	6	L-Lyxose	lyx__L	1
PM1	H7	H	7	Glucuronamide		1
PM1	H8	H	8	Pyruvic Acid	pyr	1
PM1	H9	H	9	L-Galactonic Acid-gamma-Lactone	gal14lac	0
PM1	H10	H	10	D-Galacturonic Acid	galur	1
PM1	H11	H	11	Phenylethylamine	peamn	1
PM1	H12	H	12	2-Aminoethanol		1
PM2	A2	A	2	Chondroitin Sulfate C	cs_c	0
PM2	A3	A	3	alpha-Cyclodextrin		1
PM2	A4	A	4	beta-Cyclodextrin		1
PM2	A5	A	5	gamma-Cyclodextrin		1
PM2	A6	A	6	Dextrin	dextrin	1
PM2	A7	A	7	Gelatin		1
PM2	A8	A	8	Glycogen	glycogen	0
PM2	A9	A	9	Inulin		1
PM2	A10	A	10	Laminarin	lmn2	1
PM2	A11	A	11	Mannan	mannan	0
PM2	A12	A	12	Pectin	pectin	0
PM2	B1	B	1	N-Acetyl-D-Galactosamine	acgala	0
PM2	B2	B	2	N-Acetyl-Neuraminic Acid		1
PM2	B3	B	3	beta-D-Allose		1
PM2	B4	B	4	Amygdalin		1
PM2	B5	B	5	D-Arabinose	arab__D	1
PM2	B6	B	6	D-Arabitol	abt__D	1
PM2	B7	B	7	L-Arabitol	abt	0
PM2	B8	B	8	Arbutin	arbt	1
PM2	B9	B	9	2-Deoxy-D-Ribose	drib	1
PM2	B10	B	10	i-Erythritol		1
PM2	B11	B	11	D-Fucose		1
PM2	B12	B	12	3-0-beta-D-Galactopyranosyl-D-Arabinose		1
PM2	C1	C	1	Gentiobiose		1
PM2	C2	C	2	L-Glucose		1
PM2	C3	C	3	Lactitol		1
PM2	C4	C	4	D-Melezitose		1
PM2	C5	C	5	Maltitol		1
PM2	C6	C	6	a-Methyl-D-Glucoside	amdglc	1
PM2	C7	C	7	beta-Methyl-D-Galactoside		1
PM2	C8	C	8	Methyl Glucose		1
PM2	C9	C	9	beta-Methyl-D-Glucuronic Acid	metglcur	1
PM2	C10	C	10	alpha-Methyl-D-Mannoside		1
PM2	C11	C	11	beta-Methyl-D-Xyloside		1
PM2	C12	C	12	Palatinose	pala	1
PM2	D1	D	1	D-Raffinose	raffin	1
PM2	D2	D	2	Salicin	rbl__B	0
PM2	D3	D	3	Sedoheptulosan		1
PM2	D4	D	4	L-Sorbose	srb__L	1
PM2	D5	D	5	Stachyose	stys	0
PM2	D6	D	6	D-Tagatose	tag__D	1
PM2	D7	D	7	Turanose		1
PM2	D8	D	8	Xylitol	xylt	0
PM2	D9	D	9	N-Acetyl-D-Glucosaminitol		1
PM2	D10	D	10	gamma-Amino Butyric Acid		1
PM2	D11	D	11	delta-Amino Valeric Acid		1
PM2	D12	D	12	Butyric Acid	but	1
PM2	E1	E	1	Capric Acid	decacid	0
PM2	E2	E	2	Caproic Acid	caproic	0
PM2	E3	E	3	Citraconic Acid	citac	0
PM2	E4	E	4	Citramalic Acid	citm	0
PM2	E5	E	5	D-Glucosamine	gam	1
PM2	E6	E	6	2-Hydroxy Benzoic Acid	salc	1
PM2	E7	E	7	4-Hydroxy Benzoic Acid	4hbz	1
PM2	E8	E	8	beta-Hydroxy Butyric Acid		1
PM2	E9	E	9	gamma-Hydroxy Butyric Acid	ghb	0
PM2	E10	E	10	a-Keto-Valeric Acid		1
PM2	E11	E	11	Itaconic Acid		1
PM2	E12	E	12	5-Keto-D-Gluconic Acid		1
PM2	F1	F	1	D-Lactic Acid Methyl Ester		1
PM2	F2	F	2	Malonic Acid	malon	0
PM2	F3	F	3	Melibionic Acid		1
PM2	F4	F	4	Oxalic Acid	oxa	1
PM2	F5	F	5	Oxalomalic Acid		1
PM2	F6	F	6	Quinic Acid	quin	1
PM2	F7	F	7	"D-Ribono-1,4-Lactone"		1
PM2	F8	F	8	Sebacic Acid	sebacid	0
PM2	F9	F	9	Sorbic Acid		1
PM2	F10	F	10	Succinamic Acid		1
PM2	F11	F	11	D-Tartaric Acid	tartr__M	0
PM2	F12	F	12	L-Tartaric Acid	tartr__L	1
