Plate	Well	Column	Row	Biolog_name	BiGG
PM1	A2	A	2	L-Arabinose	arab__L
PM1	A3	A	3	N-Acetyl-D-Glucosamine	acgam
PM1	A4	A	4	D-Saccharic Acid	glcr
PM1	A5	A	5	Succinic Acid	succ
PM1	A6	A	6	D-Galactose	gal
PM1	A7	A	7	L-Aspartic Acid	asp__L
PM1	A8	A	8	L-Proline	pro__L
PM1	A9	A	9	D-Alanine	ala__D
PM1	A10	A	10	D-Trehalose	tre
PM1	A11	A	11	D-Mannose	man
PM1	A12	A	12	Dulcitol	galt
PM1	B1	B	1	D-Serine	ser__D
PM1	B2	B	2	D-Sorbitol	sbt__D
PM1	B3	B	3	Glycerol	glyc
PM1	B4	B	4	L-Fucose	fuc__L
PM1	B5	B	5	D-Glucuronic Acid	glcur
PM1	B6	B	6	D-Gluconic Acid	glcn
PM1	B7	B	7	"D,L-alpha-Glycerol-Phosphate"	glyc3p
PM1	B8	B	8	D-Xylose	xyl__D
PM1	B9	B	9	L-Lactic Acid	lac__L
PM1	B10	B	10	Formic Acid	for
PM1	B11	B	11	D-Mannitol	mnl
PM1	B12	B	12	L-Glutamic Acid	glu__L
PM1	C1	C	1	D-Glucose-6-Phosphate	g6p
PM1	C2	C	2	D-Galactonic Acid-gamma-Lactone	
PM1	C3	C	3	"D,L-Malic Acid"	mal__D
PM1	C4	C	4	D-Ribose	rib__D
PM1	C5	C	5	Tween 20	
PM1	C6	C	6	L-Rhamnose	rmn
PM1	C7	C	7	D-Fructose	fru
PM1	C8	C	8	Acetic Acid	ac
PM1	C9	C	9	alpha-D-Glucose	glc__D
PM1	C10	C	10	Maltose	malt
PM1	C11	C	11	D-Melibiose	melib
PM1	C12	C	12	Thymidine	thymd
PM1	D1	D	1	L-Asparagine	asn__L
PM1	D2	D	2	D-Aspartic Acid	asp__D
PM1	D3	D	3	D-Glucosaminic Acid	gam
PM1	D4	D	4	"1,2-Propanediol"	13ppd
PM1	D5	D	5	Tween 40	
PM1	D6	D	6	alpha-Keto-Glutaric Acid	akg
PM1	D7	D	7	alpha-Keto-Butyric Acid	
PM1	D8	D	8	alpha-Methyl-D-Galactoside	
PM1	D9	D	9	alpha-D-Lactose	lcts
PM1	D10	D	10	Lactulose	
PM1	D11	D	11	Sucrose	sucr
PM1	D12	D	12	Uridine	uri
PM1	E1	E	1	L-Glutamine	gln__L
PM1	E2	E	2	m-Tartaric Acid	tartr__M
