medium	description	compound	name
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	gln__L	L-Glutamine
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	ca2	Ca2+
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	cl	Cl-
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	cobalt2	Co2+
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	cu2	Cu2+
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	fe2	Fe2+
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	fe3	Fe3+
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	h2o	H2O
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	h	H+
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	k	K+
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	mg2	Mg
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	mn2	Mn2+
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	mobd	Molybdate
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	na1	Na+
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	nh4	Ammonium
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	ni2	Ni2+
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	o2	O2
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	pi	Phosphate
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	so4	Sulfate
gln__L_medium	M9 medium containing L-Glutamine as sole carbon source	zn2	Zn2+
