ID,strain,plate,time,well,wavelength,od,fold,rate
PM1_A1,11-3,PM1,192,A1,450,1.438,1.3327154772937906,0.00028875144436123467
PM1_A2,11-3,PM1,192,A2,450,1.432,1.308957952468007,0.0005492043901498766
PM1_A3,11-3,PM1,192,A3,450,1.279,1.1919850885368126,0.00016257011129432834
PM1_A4,11-3,PM1,192,A4,450,1.245,1.4020270270270272,0.0003665224220556656
PM1_A5,11-3,PM1,192,A5,450,1.151,1.390096618357488,0.0005752176485280548
PM1_A6,11-3,PM1,192,A6,450,1.484,1.436592449177154,0.00019607879322552975
PM1_A7,11-3,PM1,192,A7,450,1.036,1.2422062350119905,0.0004798517525649617
PM1_A8,11-3,PM1,192,A8,450,1.078,1.239080459770115,0.0013313166586084255
PM1_A9,11-3,PM1,192,A9,450,1.127,1.3578313253012049,-0.0005957801833394299
PM1_A10,11-3,PM1,192,A10,450,1.464,1.4338883447600392,0.0007614425101450643
PM1_A11,11-3,PM1,192,A11,450,1.526,1.4616858237547892,0.00046161002161493775
PM1_A12,11-3,PM1,192,A12,450,1.721,1.2748148148148148,0.0003375790070591759
PM1_B1,11-3,PM1,192,B1,450,1.408,1.3447946513849092,5.914361059276219e-05
PM1_B2,11-3,PM1,192,B2,450,1.242,1.3226837060702876,0.00036740385011016854
PM1_B3,11-3,PM1,192,B3,450,1.113,1.1840425531914893,0.0007052878119826407
PM1_B4,11-3,PM1,192,B4,450,1.293,1.362486828240253,0.0005124327974184384
PM1_B5,11-3,PM1,192,B5,450,1.426,1.3898635477582846,0.0006379154988091879
PM1_B6,11-3,PM1,192,B6,450,1.437,1.5984427141268076,0.00034650234340239105
PM1_B7,11-3,PM1,192,B7,450,0.946,1.130227001194743,0.00021964556222966577
PM1_B8,11-3,PM1,192,B8,450,1.183,1.2195876288659795,0.00014064710963671725
PM1_B9,11-3,PM1,192,B9,450,1.152,1.3442240373395564,-0.010239565985312442
PM1_B10,11-3,PM1,192,B10,450,1.32,1.301775147928994,0.00022037578132461715
PM1_B11,11-3,PM1,192,B11,450,1.428,1.3005464480874316,0.00037760221249969085
PM1_B12,11-3,PM1,192,B12,450,0.882,1.191891891891892,0.00014148287504742114
PM1_C1,11-3,PM1,192,C1,450,1.417,1.3456790123456792,0.000496907561203549
PM1_C2,11-3,PM1,192,C2,450,0.296,0.930817610062893,0.00042017162777608367
PM1_C3,11-3,PM1,192,C3,450,1.372,1.3928934010152285,6.0694354019340175e-05
PM1_C4,11-3,PM1,192,C4,450,1.082,1.0474346563407553,-0.00011568725617884659
PM1_C5,11-3,PM1,192,C5,450,1.469,1.2840909090909092,0.00039521524850228074
PM1_C6,11-3,PM1,192,C6,450,1.588,1.5832502492522436,0.0004696355291510822
PM1_C7,11-3,PM1,192,C7,450,1.3,1.2264150943396226,0.00025562452364649707
PM1_C8,11-3,PM1,192,C8,450,1.369,1.2300089847259659,6.0827261411060454e-05
PM1_C9,11-3,PM1,192,C9,450,1.597,1.4504995458673933,-0.0026386937546839418
