ID,strain,plate,time,well,wavelength,od,fold,rate
PM2A_A1,ARW1R1,PM2A,96,A1,450,0.765,1.1953125,-0.00010907510591995096
PM2A_A2,ARW1R1,PM2A,96,A2,450,0.49,1.2280701754385963,0.0029539925680432317
PM2A_A3,ARW1R1,PM2A,96,A3,450,0.582,1.2150313152400836,0.0001429389623662176
PM2A_A4,ARW1R1,PM2A,96,A4,450,0.656,1.1099830795262269,-0.016926149743687457
PM2A_A5,ARW1R1,PM2A,96,A5,450,0.582,1.20997920997921,0.0
PM2A_A6,ARW1R1,PM2A,96,A6,450,0.607,1.2489711934156378,0.0016816917953066301
PM2A_A7,ARW1R1,PM2A,96,A7,450,0.775,1.1619190404797601,-0.00010766586524687574
PM2A_A8,ARW1R1,PM2A,96,A8,450,0.362,0.6418439716312058,-0.009240137035218808
PM2A_A9,ARW1R1,PM2A,96,A9,450,0.705,1.1672185430463575,-5.91436105927606e-05
PM2A_A10,ARW1R1,PM2A,96,A10,450,0.613,1.0098846787479407,-0.0008237500583751586
PM2A_A11,ARW1R1,PM2A,96,A11,450,0.271,0.6691358024691358,-0.003194411739496547
PM2A_A12,ARW1R1,PM2A,96,A12,450,0.421,1.4517241379310346,0.002496906705466142
PM2A_B1,ARW1R1,PM2A,96,B1,450,0.765,1.0959885386819486,0.0009690359235111326
PM2A_B2,ARW1R1,PM2A,96,B2,450,0.321,1.244186046511628,-0.0007861868460159502
PM2A_B3,ARW1R1,PM2A,96,B3,450,0.666,1.1443298969072166,0.0009280264837134676
PM2A_B4,ARW1R1,PM2A,96,B4,450,0.881,1.393987341772152,0.001165903337783327
PM2A_B5,ARW1R1,PM2A,96,B5,450,0.65,1.1284722222222223,0.0003192863643987124
PM2A_B6,ARW1R1,PM2A,96,B6,450,0.605,1.21,0.000818356911439434
PM2A_B7,ARW1R1,PM2A,96,B7,450,0.667,1.1742957746478875,6.242198420924965e-05
PM2A_B8,ARW1R1,PM2A,96,B8,450,0.569,1.027075812274368,0.0007978195589222531
PM2A_B9,ARW1R1,PM2A,96,B9,450,0.472,0.8151986183074266,-0.017382753058596715
PM2A_B10,ARW1R1,PM2A,96,B10,450,0.416,0.803088803088803,-0.02055629138511361
PM2A_B11,ARW1R1,PM2A,96,B11,450,0.724,1.1907894736842106,-0.0003467426390621757
PM2A_B12,ARW1R1,PM2A,96,B12,450,0.967,1.1309941520467837,0.0015645335332658428
PM2A_C1,ARW1R1,PM2A,96,C1,450,0.534,1.1361702127659576,-0.011727469875562996
PM2A_C2,ARW1R1,PM2A,96,C2,450,0.711,1.1504854368932038,-0.00035310945795717635
PM2A_C3,ARW1R1,PM2A,96,C3,450,0.676,1.2028469750889679,0.0010348717977891294
PM2A_C4,ARW1R1,PM2A,96,C4,450,0.712,1.2669039145907472,-5.8561733697288367e-05
PM2A_C5,ARW1R1,PM2A,96,C5,450,0.731,1.2122719734660032,-0.0002859768718742667
PM2A_C6,ARW1R1,PM2A,96,C6,450,0.862,1.2261735419630158,-0.0009781356842235999
PM2A_C7,ARW1R1,PM2A,96,C7,450,0.776,1.2337042925278219,-0.0018106864777274858
PM2A_C8,ARW1R1,PM2A,96,C8,450,0.705,1.201022146507666,-0.000535339269910376
PM2A_C9,ARW1R1,PM2A,96,C9,450,0.715,1.1513687600644122,-0.0008834253187751271
PM2A_C10,ARW1R1,PM2A,96,C10,450,0.857,1.1853388658367912,4.859087042426641e-05
PM2A_C11,ARW1R1,PM2A,96,C11,450,0.576,1.2360515021459226,-0.00014492768234686701
PM2A_C12,ARW1R1,PM2A,96,C12,450,0.785,1.1911987860394537,-0.0001595407182123896
PM2A_D1,ARW1R1,PM2A,96,D1,450,0.57,1.1422845691382764,0.0006527548643499773
PM2A_D2,ARW1R1,PM2A,96,D2,450,0.587,0.9483037156704361,-0.019682978601113756
PM2A_D3,ARW1R1,PM2A,96,D3,450,0.649,1.1672661870503596,0.000700296596515883
PM2A_D4,ARW1R1,PM2A,96,D4,450,0.814,1.220389805097451,-0.0004115259789963277
PM2A_D5,ARW1R1,PM2A,96,D5,450,0.523,1.1859410430839004,-0.019440327320032466
PM2A_D6,ARW1R1,PM2A,96,D6,450,0.673,1.172473867595819,0.000123640051158417
PM2A_D7,ARW1R1,PM2A,96,D7,450,0.732,1.2512820512820513,-0.0013302078095493348
