ID,strain,plate,time,well,wavelength,od,fold,rate
PM2A_A1,ARW1T,PM2A,144,A1,450,0.778,1.0513513513513515,0.0003732164001673647
PM2A_A2,ARW1T,PM2A,144,A2,450,0.743,1.1537267080745341,-0.0003378396886842744
PM2A_A3,ARW1T,PM2A,144,A3,450,0.559,1.0256880733944955,-0.00014934305115896505
PM2A_A4,ARW1T,PM2A,144,A4,450,0.763,1.0656424581005588,-0.01273984089128191
PM2A_A5,ARW1T,PM2A,144,A5,450,0.564,0.9894736842105263,0.0
PM2A_A6,ARW1T,PM2A,144,A6,450,0.929,1.288488210818308,-0.00036036260660548836
PM2A_A7,ARW1T,PM2A,144,A7,450,0.882,1.185483870967742,0.005893190505484833
PM2A_A8,ARW1T,PM2A,144,A8,450,0.557,1.1437371663244353,-0.0019134062744016538
PM2A_A9,ARW1T,PM2A,144,A9,450,0.94,1.1045828437132785,0.000484757803389201
PM2A_A10,ARW1T,PM2A,144,A10,450,0.881,1.529513888888889,0.00028280651555833027
PM2A_A11,ARW1T,PM2A,144,A11,450,0.608,1.5751295336787563,0.0008143581697070977
PM2A_A12,ARW1T,PM2A,144,A12,450,0.485,1.2404092071611252,-0.0016651357004932206
PM2A_B1,ARW1T,PM2A,144,B1,450,0.883,1.0536992840095465,0.0006554442272848402
PM2A_B2,ARW1T,PM2A,144,B2,450,0.635,1.0654362416107384,-0.00019731686440975995
PM2A_B3,ARW1T,PM2A,144,B3,450,0.76,1.0468319559228652,-5.4860661864449376e-05
PM2A_B4,ARW1T,PM2A,144,B4,450,0.633,1.0728813559322035,-6.587616655495076e-05
PM2A_B5,ARW1T,PM2A,144,B5,450,0.631,0.9968404423380727,-0.0001985706697089357
PM2A_B6,ARW1T,PM2A,144,B6,450,1.161,1.8516746411483254,0.004583370633930353
PM2A_B7,ARW1T,PM2A,144,B7,450,0.607,1.0,-0.00041391068851211405
PM2A_B8,ARW1T,PM2A,144,B8,450,0.861,1.0577395577395579,0.00024126683894601286
PM2A_B9,ARW1T,PM2A,144,B9,450,0.869,1.0986093552465233,0.00014359577681615204
PM2A_B10,ARW1T,PM2A,144,B10,450,0.516,0.9828571428571429,0.00024154657018024645
PM2A_B11,ARW1T,PM2A,144,B11,450,0.592,1.0404217926186292,0.00014052851994329817
PM2A_B12,ARW1T,PM2A,144,B12,450,1.123,1.1625258799171843,0.0018505435687332754
PM2A_C1,ARW1T,PM2A,144,C1,450,0.702,1.0115273775216138,0.00041342177109652043
PM2A_C2,ARW1T,PM2A,144,C2,450,0.821,1.0445292620865139,-0.0015510475701989272
PM2A_C3,ARW1T,PM2A,144,C3,450,0.723,1.0508720930232558,0.0
PM2A_C4,ARW1T,PM2A,144,C4,450,0.534,0.7958271236959762,-0.00980793853850763
PM2A_C5,ARW1T,PM2A,144,C5,450,0.642,1.0422077922077921,6.485085615242325e-05
PM2A_C6,ARW1T,PM2A,144,C6,450,0.65,0.9969325153374233,0.0012627228956387107
PM2A_C7,ARW1T,PM2A,144,C7,450,0.616,1.0165016501650166,0.0
PM2A_C8,ARW1T,PM2A,144,C8,450,0.601,1.0693950177935942,-0.0009111661098575265
PM2A_C9,ARW1T,PM2A,144,C9,450,0.553,1.0573613766730403,0.0008944887343377491
PM2A_C10,ARW1T,PM2A,144,C10,450,0.597,1.011864406779661,0.0004857118559255395
