ID,strain,plate,time,well,wavelength,od,fold,rate
PM2A_A1,ARW7G5W,PM2A,120,A1,450,0.583,1.0958646616541352,-0.00014318456244087908
PM2A_A2,ARW7G5W,PM2A,120,A2,450,0.503,1.2419753086419751,-0.006825256536296446
PM2A_A3,ARW7G5W,PM2A,120,A3,450,0.477,1.0719101123595505,-0.00035087926651701187
PM2A_A4,ARW7G5W,PM2A,120,A4,450,0.257,0.40793650793650793,-0.0018226895401190445
PM2A_A5,ARW7G5W,PM2A,120,A5,450,0.494,1.0857142857142856,-0.00025380789139174703
PM2A_A6,ARW7G5W,PM2A,120,A6,450,0.8,1.1396011396011396,-0.000156543703238012
PM2A_A7,ARW7G5W,PM2A,120,A7,450,0.594,1.6732394366197183,0.0007645474445081924
PM2A_A8,ARW7G5W,PM2A,120,A8,450,0.631,1.328421052631579,0.000849702648464189
PM2A_A9,ARW7G5W,PM2A,120,A9,450,0.821,1.016089108910891,-0.0001016260666399478
PM2A_A10,ARW7G5W,PM2A,120,A10,450,0.87,1.6081330868761552,-0.0009200451281356365
PM2A_A11,ARW7G5W,PM2A,120,A11,450,0.514,1.181609195402299,0.0006435134344780648
PM2A_A12,ARW7G5W,PM2A,120,A12,450,0.367,1.1504702194357366,0.0007872478899984005
PM2A_B1,ARW7G5W,PM2A,120,B1,450,0.645,1.0988074957410563,6.454945778455494e-05
PM2A_B2,ARW7G5W,PM2A,120,B2,450,0.602,1.078853046594982,0.0
PM2A_B3,ARW7G5W,PM2A,120,B3,450,0.711,1.065967016491754,5.856173369728944e-05
PM2A_B4,ARW7G5W,PM2A,120,B4,450,0.592,1.0783242258652093,-0.00028248695772411684
PM2A_B5,ARW7G5W,PM2A,120,B5,450,0.564,1.0601503759398494,0.0
PM2A_B6,ARW7G5W,PM2A,120,B6,450,0.651,1.1501766784452299,0.0019993840567592044
PM2A_B7,ARW7G5W,PM2A,120,B7,450,0.347,0.6366972477064219,-0.007476827373597478
PM2A_B8,ARW7G5W,PM2A,120,B8,450,0.84,1.09375,9.908843354030913e-05
PM2A_B9,ARW7G5W,PM2A,120,B9,450,0.417,0.6836065573770491,-0.007776976947544885
PM2A_B10,ARW7G5W,PM2A,120,B10,450,0.518,1.01171875,-0.012147939551237554
PM2A_B11,ARW7G5W,PM2A,120,B11,450,0.659,1.1112984822934233,0.0
PM2A_B12,ARW7G5W,PM2A,120,B12,450,1.02,1.1888111888111887,0.0002849709854267267
PM2A_C1,ARW7G5W,PM2A,120,C1,450,0.658,1.104026845637584,-6.337136836278048e-05
PM2A_C2,ARW7G5W,PM2A,120,C2,450,0.699,1.0820433436532506,-0.0002391206945424236
PM2A_C3,ARW7G5W,PM2A,120,C3,450,0.705,1.0862865947611708,-0.0008357491268582828
PM2A_C4,ARW7G5W,PM2A,120,C4,450,0.681,1.1127450980392157,-0.0004923740210326892
PM2A_C5,ARW7G5W,PM2A,120,C5,450,0.593,1.0880733944954126,0.00014029193949601036
PM2A_C6,ARW7G5W,PM2A,120,C6,450,0.686,1.1282894736842106,-0.00012165458763894793
PM2A_C7,ARW7G5W,PM2A,120,C7,450,0.669,1.1150000000000002,-0.0002498758113489288
PM2A_C8,ARW7G5W,PM2A,120,C8,450,0.874,1.1077313054499365,0.00023768841790173224
PM2A_C9,ARW7G5W,PM2A,120,C9,450,0.528,1.135483870967742,0.00015753011832942302
PM2A_C10,ARW7G5W,PM2A,120,C10,450,0.706,1.111811023622047,-5.9059778373891395e-05
PM2A_C11,ARW7G5W,PM2A,120,C11,450,0.386,0.6317512274959084,-0.013526066151811051
PM2A_C12,ARW7G5W,PM2A,120,C12,450,0.75,1.1094674556213018,-0.00044683180679065514
PM2A_D1,ARW7G5W,PM2A,120,D1,450,0.582,1.1128107074569789,0.0
PM2A_D2,ARW7G5W,PM2A,120,D2,450,1.078,1.111340206185567,0.00042301547766741284
PM2A_D3,ARW7G5W,PM2A,120,D3,450,0.721,1.0990853658536583,0.0
PM2A_D4,ARW7G5W,PM2A,120,D4,450,0.804,1.112033195020747,-0.00020781422962662713
PM2A_D5,ARW7G5W,PM2A,120,D5,450,0.491,1.0862831858407078,-0.0006844780892478305
PM2A_D6,ARW7G5W,PM2A,120,D6,450,0.774,1.0901408450704226,-0.00016181250109990138
PM2A_D7,ARW7G5W,PM2A,120,D7,450,0.683,1.1556683587140442,-0.0003061488179331051
PM2A_D8,ARW7G5W,PM2A,120,D8,450,0.685,1.0907643312101911,-0.00012183244547646669
PM2A_D9,ARW7G5W,PM2A,120,D9,450,1.17,1.3101903695408734,0.00024854497785312975
PM2A_D10,ARW7G5W,PM2A,120,D10,450,0.599,1.123827392120075,-6.961850686740025e-05
PM2A_D11,ARW7G5W,PM2A,120,D11,450,0.458,1.1253071253071254,-0.00027382354846810424
PM2A_D12,ARW7G5W,PM2A,120,D12,450,1.677,1.2714177407126612,0.00017355970746096567
PM2A_E1,ARW7G5W,PM2A,120,E1,450,1.078,0.9497797356828195,-3.866976302308212e-05
PM2A_E2,ARW7G5W,PM2A,120,E2,450,0.747,1.0360610263522885,0.0003333351111281821
PM2A_E3,ARW7G5W,PM2A,120,E3,450,0.424,1.2771084337349397,0.0002937732498611151
PM2A_E4,ARW7G5W,PM2A,120,E4,450,0.724,1.2928571428571427,0.001023243782569341
PM2A_E5,ARW7G5W,PM2A,120,E5,450,0.479,1.0788288288288288,0.0031002570029436474
PM2A_E6,ARW7G5W,PM2A,120,E6,450,0.6,1.001669449081803,0.0001386579205281144
PM2A_E7,ARW7G5W,PM2A,120,E7,450,0.565,1.0501858736059477,0.00022065364894627095
PM2A_E8,ARW7G5W,PM2A,120,E8,450,1.152,2.013986013986014,0.002218521438283854
PM2A_E9,ARW7G5W,PM2A,120,E9,450,0.639,1.1746323529411764,0.0007111628546728341
PM2A_E10,ARW7G5W,PM2A,120,E10,450,0.47,0.8089500860585198,-8.874692740936889e-05
PM2A_E11,ARW7G5W,PM2A,120,E11,450,0.541,1.0344168260038242,-0.001649602802958689
PM2A_E12,ARW7G5W,PM2A,120,E12,450,0.526,1.0436507936507937,-0.00015873035069448877
PM2A_F1,ARW7G5W,PM2A,120,F1,450,0.824,1.6816326530612244,-0.0004576006945253767
PM2A_F2,ARW7G5W,PM2A,120,F2,450,0.733,0.7976060935799781,-0.014707450050954807
PM2A_F3,ARW7G5W,PM2A,120,F3,450,0.482,0.8155668358714044,-0.013214912107697272
PM2A_F4,ARW7G5W,PM2A,120,F4,450,0.529,1.1327623126338329,-7.883950633491361e-05
PM2A_F5,ARW7G5W,PM2A,120,F5,450,0.783,1.4007155635062611,0.00037084372792766995
PM2A_F6,ARW7G5W,PM2A,120,F6,450,0.763,1.1026011560693643,-0.00016414991683667512
PM2A_F7,ARW7G5W,PM2A,120,F7,450,0.204,0.8680851063829788,0.000406507289390194
PM2A_F8,ARW7G5W,PM2A,120,F8,450,0.495,1.066810344827586,0.0006680169804603753
PM2A_F9,ARW7G5W,PM2A,120,F9,450,0.662,1.0626003210272874,0.0002510047751408698
PM2A_F10,ARW7G5W,PM2A,120,F10,450,0.582,1.1877551020408164,0.0001429389623662176
PM2A_F11,ARW7G5W,PM2A,120,F11,450,1.081,1.4261213720316621,0.0006121934431675864
PM2A_F12,ARW7G5W,PM2A,120,F12,450,0.942,1.1924050632911392,0.00048373454490996506
PM2A_G1,ARW7G5W,PM2A,120,G1,450,0.851,1.1124183006535948,0.00014662771729982092
PM2A_G2,ARW7G5W,PM2A,120,G2,450,0.584,1.0598911070780397,0.00014245028119939422
PM2A_G3,ARW7G5W,PM2A,120,G3,450,0.6,1.1131725417439702,0.00020781422962663285
PM2A_G4,ARW7G5W,PM2A,120,G4,450,0.741,1.1227272727272726,0.00033602332653043726
PM2A_G5,ARW7G5W,PM2A,120,G5,450,0.512,1.032258064516129,0.00024342815100951505
PM2A_G6,ARW7G5W,PM2A,120,G6,450,0.641,1.0957264957264958,-0.0001954655656616736
PM2A_G7,ARW7G5W,PM2A,120,G7,450,0.677,1.0119581464872944,-0.006876744858029529
PM2A_G8,ARW7G5W,PM2A,120,G8,450,0.711,1.1196850393700786,0.00011704127546062299
PM2A_G9,ARW7G5W,PM2A,120,G9,450,0.4,1.3468013468013469,0.003686193666150341
PM2A_G10,ARW7G5W,PM2A,120,G10,450,0.977,1.3256445047489824,0.0017128560444868884
PM2A_G11,ARW7G5W,PM2A,120,G11,450,0.504,0.9636711281070746,-0.013444954770369881
PM2A_G12,ARW7G5W,PM2A,120,G12,450,0.901,1.0738974970202624,0.0003683265237142092
PM2A_H1,ARW7G5W,PM2A,120,H1,450,0.757,1.1557251908396946,0.0001647991601220006
PM2A_H2,ARW7G5W,PM2A,120,H2,450,0.543,1.723809523809524,0.0016548504671877252
PM2A_H3,ARW7G5W,PM2A,120,H3,450,1.123,1.4305732484076432,0.002901902963763468
