ID,strain,plate,time,well,wavelength,od,fold,rate
PM1_A1,ARW7G5Y1,PM1,28,A1,450,0.484,0.8446771378708552,0.0011236427926029288
PM1_A2,ARW7G5Y1,PM1,28,A2,450,0.787,1.0063938618925832,6.349207202379685e-05
PM1_A3,ARW7G5Y1,PM1,28,A3,450,0.662,1.0834697217675942,0.0008982277487649447
PM1_A4,ARW7G5Y1,PM1,28,A4,450,0.499,1.1550925925925926,0.005047097526278832
PM1_A5,ARW7G5Y1,PM1,28,A5,450,0.229,0.6325966850828729,-0.004569387579471437
PM1_A6,ARW7G5Y1,PM1,28,A6,450,0.496,1.087719298245614,0.0017823669365118848
PM1_A7,ARW7G5Y1,PM1,28,A7,450,0.337,0.9941002949852508,-0.0008982277487649442
PM1_A8,ARW7G5Y1,PM1,28,A8,450,0.483,0.9602385685884691,0.0010246260195058694
PM1_A9,ARW7G5Y1,PM1,28,A9,450,0.473,1.105140186915888,0.00042105511982041725
PM1_A10,ARW7G5Y1,PM1,28,A10,450,0.841,1.0565326633165828,0.0012331805345372504
PM1_A11,ARW7G5Y1,PM1,28,A11,450,0.553,1.1037924151696608,0.0029833409152880755
PM1_A12,ARW7G5Y1,PM1,28,A12,450,1.214,1.027072758037225,0.00041017457264139504
PM1_B1,ARW7G5Y1,PM1,28,B1,450,0.477,1.0084566596194504,-0.0008456861221030962
PM1_B2,ARW7G5Y1,PM1,28,B2,450,0.906,1.0486111111111112,0.0002751795608489455
PM1_B3,ARW7G5Y1,PM1,28,B3,450,0.413,0.9672131147540983,-0.000978026292724674
PM1_B4,ARW7G5Y1,PM1,28,B4,450,0.496,1.2338308457711442,0.0028411167933348183
PM1_B5,ARW7G5Y1,PM1,28,B5,450,0.451,1.0134831460674159,-0.0002222225880212009
PM1_B6,ARW7G5Y1,PM1,28,B6,450,0.644,1.1338028169014085,0.002127980720939795
PM1_B7,ARW7G5Y1,PM1,28,B7,450,0.474,1.0604026845637584,0.00010537411697823997
PM1_B8,ARW7G5Y1,PM1,28,B8,450,0.708,0.9685362517099863,-0.0007112495465673663
PM1_B9,ARW7G5Y1,PM1,28,B9,450,0.313,0.9542682926829268,-0.0006430956821203905
PM1_B10,ARW7G5Y1,PM1,28,B10,450,0.536,0.9657657657657658,-9.337070873977367e-05
PM1_B11,ARW7G5Y1,PM1,28,B11,450,0.652,1.0219435736677116,0.001062255430686814
PM1_B12,ARW7G5Y1,PM1,28,B12,450,0.434,0.970917225950783,-0.0003468221998328549
PM1_C1,ARW7G5Y1,PM1,28,C1,450,0.325,0.6202290076335878,-0.0017216098210742065
PM1_C2,ARW7G5Y1,PM1,28,C2,450,0.243,1.0384615384615383,-0.00253218664093774
PM1_C3,ARW7G5Y1,PM1,28,C3,450,0.736,1.0682148040638608,0.0017358218478885014
PM1_C4,ARW7G5Y1,PM1,28,C4,450,0.344,0.9028871391076114,-0.0019261640998167646
PM1_C5,ARW7G5Y1,PM1,28,C5,450,0.669,0.979502196193265,-0.001057441224648826
PM1_C6,ARW7G5Y1,PM1,28,C6,450,0.67,1.1204013377926423,0.0015431055691329046
PM1_C7,ARW7G5Y1,PM1,28,C7,450,0.589,1.0988805970149254,0.0012574007141614185
PM1_C8,ARW7G5Y1,PM1,28,C8,450,1.612,1.1018455228981545,0.0009219683472899915
PM1_C9,ARW7G5Y1,PM1,28,C9,450,0.942,1.0865051903114187,0.0012061413381311485
PM1_C10,ARW7G5Y1,PM1,28,C10,450,0.593,1.0241796200345423,0.0014132279084815712
PM1_C11,ARW7G5Y1,PM1,28,C11,450,0.576,1.0530164533820838,0.0016226872424869286
PM1_C12,ARW7G5Y1,PM1,28,C12,450,0.596,0.9722675367047308,0.0002510465525049832
PM1_D1,ARW7G5Y1,PM1,28,D1,450,0.584,1.008635578583765,0.0
PM1_D2,ARW7G5Y1,PM1,28,D2,450,0.353,0.7558886509635974,-0.0010014640937786264
PM1_D3,ARW7G5Y1,PM1,28,D3,450,0.466,1.0,-0.0011944107587347746
PM1_D4,ARW7G5Y1,PM1,28,D4,450,0.652,1.044871794871795,-0.0004622529072025581
PM1_D5,ARW7G5Y1,PM1,28,D5,450,0.596,0.8948948948948948,0.0
PM1_D6,ARW7G5Y1,PM1,28,D6,450,0.302,0.9467084639498432,-0.001172583051752491
PM1_D7,ARW7G5Y1,PM1,28,D7,450,0.363,1.0614035087719298,-0.0008333526242605881
PM1_D8,ARW7G5Y1,PM1,28,D8,450,0.746,1.0346740638002774,0.0003340025780187004
PM1_D9,ARW7G5Y1,PM1,28,D9,450,0.925,1.0668973471741638,0.0009105768531968841
PM1_D10,ARW7G5Y1,PM1,28,D10,450,0.935,1.060090702947846,-5.350455299222022e-05
PM1_D11,ARW7G5Y1,PM1,28,D11,450,0.961,1.0377969762419006,0.00020768461843466974
PM1_D12,ARW7G5Y1,PM1,28,D12,450,0.622,0.9904458598726115,0.00016051378151240946
PM1_E1,ARW7G5Y1,PM1,28,E1,450,0.539,0.9782214156079855,0.0011916237684049121
PM1_E2,ARW7G5Y1,PM1,28,E2,450,0.582,1.075785582255083,0.0018551875101688604
PM1_E3,ARW7G5Y1,PM1,28,E3,450,0.489,1.01875,-0.0005138791379120148
PM1_E4,ARW7G5Y1,PM1,28,E4,450,0.381,1.0,0.00026178070269724716
PM1_E5,ARW7G5Y1,PM1,28,E5,450,0.767,0.9527950310559006,-6.523158133324291e-05
PM1_E6,ARW7G5Y1,PM1,28,E6,450,0.45,0.9846827133479212,0.00044248076384913
PM1_E7,ARW7G5Y1,PM1,28,E7,450,0.466,0.9936034115138593,0.0003208567160316644
PM1_E8,ARW7G5Y1,PM1,28,E8,450,0.804,1.0523560209424083,0.0009242407337051471
PM1_E9,ARW7G5Y1,PM1,28,E9,450,0.566,1.027223230490018,-8.841735283710017e-05
PM1_E10,ARW7G5Y1,PM1,28,E10,450,0.75,1.0344827586206897,0.0008592412377050483
PM1_E11,ARW7G5Y1,PM1,28,E11,450,0.545,0.9784560143626571,-0.0002759896611798961
PM1_E12,ARW7G5Y1,PM1,28,E12,450,0.288,0.8520710059171597,0.00034602214222868784
PM1_F1,ARW7G5Y1,PM1,28,F1,450,0.256,0.9481481481481481,-0.0021959616967417743
PM1_F2,ARW7G5Y1,PM1,28,F2,450,0.537,1.0447470817120623,0.0009225353956558303
PM1_F3,ARW7G5Y1,PM1,28,F3,450,0.7,1.0159651669085632,0.001685552867115583
PM1_F4,ARW7G5Y1,PM1,28,F4,450,0.51,0.9677419354838709,0.0002932559726199029
PM1_F5,ARW7G5Y1,PM1,28,F5,450,0.418,1.0023980815347722,-0.00023980861317465275
PM1_F6,ARW7G5Y1,PM1,28,F6,450,0.27,0.8881578947368421,-0.0020796948649418508
PM1_F7,ARW7G5Y1,PM1,28,F7,450,0.769,1.1001430615164522,-0.00045722069094988286
PM1_F8,ARW7G5Y1,PM1,28,F8,450,0.306,1.06993006993007,0.0016078555817265721
PM1_F9,ARW7G5Y1,PM1,28,F9,450,0.534,1.038910505836576,0.0010194977851524587
PM1_F10,ARW7G5Y1,PM1,28,F10,450,1.183,0.91,-0.009668569649026983
PM1_F11,ARW7G5Y1,PM1,28,F11,450,0.962,1.033297529538131,0.0004140810415861009
PM1_F12,ARW7G5Y1,PM1,28,F12,450,0.579,0.9813559322033898,0.00017241396394579618
PM1_G1,ARW7G5Y1,PM1,28,G1,450,0.297,0.9166666666666666,-0.0017124961521539288
PM1_G2,ARW7G5Y1,PM1,28,G2,450,0.284,0.9250814332247557,-0.0010676562235284416
PM1_G3,ARW7G5Y1,PM1,28,G3,450,0.379,0.9668367346938775,-0.0002645508817207774
PM1_G4,ARW7G5Y1,PM1,28,G4,450,0.47,0.9611451942740286,0.00031813468939143253
PM1_G5,ARW7G5Y1,PM1,28,G5,450,0.539,1.1252609603340293,0.0001851853968742216
PM1_G6,ARW7G5Y1,PM1,28,G6,450,0.343,0.9772079772079774,-0.00014598550516673752
PM1_G7,ARW7G5Y1,PM1,28,G7,450,1.624,1.0628272251308901,0.0003375281304865214
PM1_G8,ARW7G5Y1,PM1,28,G8,450,0.569,0.9743150684931506,0.0008711021723332207
PM1_G9,ARW7G5Y1,PM1,28,G9,450,0.478,0.9484126984126984,0.0002087685705240296
PM1_G10,ARW7G5Y1,PM1,28,G10,450,0.209,0.9207048458149779,-0.0009662136413201407
PM1_G11,ARW7G5Y1,PM1,28,G11,450,0.615,1.0962566844919786,0.002381402449462733
PM1_G12,ARW7G5Y1,PM1,28,G12,450,0.617,1.090106007067138,0.00206378501661158
PM1_H1,ARW7G5Y1,PM1,28,H1,450,0.53,1.03515625,0.0002822208809838566
PM1_H2,ARW7G5Y1,PM1,28,H2,450,0.564,0.9929577464788732,8.857398241910105e-05
PM1_H3,ARW7G5Y1,PM1,28,H3,450,0.404,0.8763557483731019,0.0017033277281803029
PM1_H4,ARW7G5Y1,PM1,28,H4,450,0.405,0.7377049180327869,0.0
PM1_H5,ARW7G5Y1,PM1,28,H5,450,0.482,0.9917695473251029,0.0003102388443441435
PM1_H6,ARW7G5Y1,PM1,28,H6,450,0.485,0.8931860036832412,-0.0007269079223013641
PM1_H7,ARW7G5Y1,PM1,28,H7,450,0.508,1.0119521912350598,0.0008780713464973603
PM1_H8,ARW7G5Y1,PM1,28,H8,450,0.468,0.9435483870967742,0.0011616150746634208
PM1_H9,ARW7G5Y1,PM1,28,H9,450,0.505,1.0369609856262834,0.000590558046417231
PM1_H10,ARW7G5Y1,PM1,28,H10,450,0.38,0.9819121447028424,0.00013140612031347043
