ID,strain,plate,time,well,wavelength,od,fold,rate
PM1_A1,13A,PM1,144,A1,450,0.441,0.9206680584551149,0.00037622527997475654
PM1_A2,13A,PM1,144,A2,450,0.601,0.9933884297520661,0.00013842759133241085
PM1_A3,13A,PM1,144,A3,450,0.758,1.0498614958448753,0.00016458217580476208
PM1_A4,13A,PM1,144,A4,450,0.77,1.2261146496815287,0.0014360068309368942
PM1_A5,13A,PM1,144,A5,450,0.243,0.8772563176895306,0.0028175078197908037
PM1_A6,13A,PM1,144,A6,450,0.518,1.0724637681159421,0.0007967100602824323
PM1_A7,13A,PM1,144,A7,450,0.305,0.9902597402597403,0.00040783359859012264
PM1_A8,13A,PM1,144,A8,450,0.501,1.002,0.00033134700793729233
PM1_A9,13A,PM1,144,A9,450,0.448,1.0821256038647344,0.0006460077723318856
PM1_A10,13A,PM1,144,A10,450,1.129,1.0581068416119963,-0.0015030183840292345
PM1_A11,13A,PM1,144,A11,450,0.883,1.100997506234414,0.0009793399911756904
PM1_A12,13A,PM1,144,A12,450,0.877,1.0354191263282173,0.00033125292772751263
PM1_B1,13A,PM1,144,B1,450,0.43,1.0070257611241218,0.00019334914818759587
PM1_B2,13A,PM1,144,B2,450,0.469,1.0086021505376344,0.00026567571413650264
PM1_B3,13A,PM1,144,B3,450,0.186,0.42369020501138954,-0.00022461869311985098
PM1_B4,13A,PM1,144,B4,450,0.569,1.096339113680154,0.00014619898040330295
PM1_B5,13A,PM1,144,B5,450,0.535,1.019047619047619,-7.795449732548881e-05
PM1_B6,13A,PM1,144,B6,450,0.727,1.0597667638483963,-0.01961788664550714
PM1_B7,13A,PM1,144,B7,450,0.399,0.8471337579617836,-0.0014882534417533014
PM1_B8,13A,PM1,144,B8,450,0.614,0.9388379204892966,0.00020308732326022305
PM1_B9,13A,PM1,144,B9,450,0.339,0.9442896935933148,-0.0048155454168991975
PM1_B10,13A,PM1,144,B10,450,0.597,0.9754901960784313,-0.0070558685550513945
