ID,strain,plate,time,well,wavelength,od,fold,rate
PM2A_A1,13C1,PM2A,120,A1,450,0.225,0.32051282051282054,-0.002088516132607031
PM2A_A2,13C1,PM2A,120,A2,450,0.667,1.0325077399380804,-0.020993895165372534
PM2A_A3,13C1,PM2A,120,A3,450,0.52,1.054766734279919,0.001880018136686235
PM2A_A4,13C1,PM2A,120,A4,450,0.8,0.8988764044943821,-0.03361983107867868
PM2A_A5,13C1,PM2A,120,A5,450,0.54,1.0671936758893281,0.017658926949015035
PM2A_A6,13C1,PM2A,120,A6,450,0.798,1.0886766712141884,-0.01658226818245862
PM2A_A7,13C1,PM2A,120,A7,450,0.58,1.0681399631675874,-0.00123951980836561
PM2A_A8,13C1,PM2A,120,A8,450,0.307,0.4943639291465378,-0.0009610530387915043
PM2A_A9,13C1,PM2A,120,A9,450,0.915,1.0984393757503002,0.00036271538447211696
PM2A_A10,13C1,PM2A,120,A10,450,0.594,1.0513274336283187,-0.0041258649667025174
PM2A_A11,13C1,PM2A,120,A11,450,0.486,1.132867132867133,0.010146285589110144
PM2A_A12,13C1,PM2A,120,A12,450,0.37,1.121212121212121,0.0042772564191701406
PM2A_B1,13C1,PM2A,120,B1,450,0.633,1.0620805369127517,-0.023863943348522387
PM2A_B2,13C1,PM2A,120,B2,450,0.544,1.0989898989898992,-0.024659957587794462
PM2A_B3,13C1,PM2A,120,B3,450,0.727,1.0738552437223041,-0.016608794653348843
PM2A_B4,13C1,PM2A,120,B4,450,0.644,1.0823529411764707,0.0010856297394721956
PM2A_B5,13C1,PM2A,120,B5,450,0.646,1.0015503875968992,0.0028661021597944855
PM2A_B6,13C1,PM2A,120,B6,450,0.691,1.1003184713375795,0.002116110573577063
PM2A_B7,13C1,PM2A,120,B7,450,0.583,1.0876865671641789,-0.0002868628657290477
PM2A_B8,13C1,PM2A,120,B8,450,0.905,1.036655211912944,-0.0013570355318139455
PM2A_B9,13C1,PM2A,120,B9,450,0.733,1.0859259259259257,0.00039602017964849917
PM2A_B10,13C1,PM2A,120,B10,450,0.548,1.0538461538461539,0.0160753523149422
PM2A_B11,13C1,PM2A,120,B11,450,0.654,1.2088724584103512,-0.021647000326614683
PM2A_B12,13C1,PM2A,120,B12,450,0.732,1.2385786802030456,0.016089756799794873
PM2A_C1,13C1,PM2A,120,C1,450,0.631,1.0569514237855946,-0.012096953206485744
PM2A_C2,13C1,PM2A,120,C2,450,0.718,1.054331864904552,-0.006384275229779349
PM2A_C3,13C1,PM2A,120,C3,450,0.695,1.0643185298621745,-0.01737677756044196
PM2A_C4,13C1,PM2A,120,C4,450,0.635,0.8893557422969188,0.022741561192302886
PM2A_C5,13C1,PM2A,120,C5,450,0.681,1.0878594249201279,0.001502205472655398
PM2A_C6,13C1,PM2A,120,C6,450,0.695,1.0725308641975309,0.00029868706160885404
PM2A_C7,13C1,PM2A,120,C7,450,0.616,1.08641975308642,-0.0006819573943418899
PM2A_C8,13C1,PM2A,120,C8,450,0.647,1.0910623946037101,0.0010806606239805534
