ID,strain,plate,time,well,wavelength,od,fold,rate
PM1_A1,3-2,PM1,192,A1,450,0.262,0.45644599303135897,0.003506028187814727
PM1_A2,3-2,PM1,192,A2,450,0.829,1.2102189781021897,0.0004996063054963051
PM1_A3,3-2,PM1,192,A3,450,0.456,0.9325153374233129,0.00027322502275662665
PM1_A4,3-2,PM1,192,A4,450,0.901,1.5918727915194348,0.0011403740432433987
PM1_A5,3-2,PM1,192,A5,450,0.763,2.0904109589041098,0.00043459759495301887
PM1_A6,3-2,PM1,192,A6,450,0.231,0.40812720848056544,0.001592550534174903
PM1_A7,3-2,PM1,192,A7,450,0.519,1.1258134490238612,8.020535039935075e-05
PM1_A8,3-2,PM1,192,A8,450,0.477,1.1925,0.000864484674760354
PM1_A9,3-2,PM1,192,A9,450,0.525,1.2559808612440193,0.0007082323486904615
PM1_A10,3-2,PM1,192,A10,450,0.271,0.23918799646954989,-0.0023725573500057687
PM1_A11,3-2,PM1,192,A11,450,0.296,0.5042589437819421,-0.003830728971903562
PM1_A12,3-2,PM1,192,A12,450,1.356,1.2440366972477064,0.0006705826280526185
PM1_B1,3-2,PM1,192,B1,450,0.49,1.0294117647058825,8.494736207701287e-05
PM1_B2,3-2,PM1,192,B2,450,0.857,1.2810164424514199,0.00043529124852730727
PM1_B3,3-2,PM1,192,B3,450,0.744,1.9682539682539681,0.006709972534268485
PM1_B4,3-2,PM1,192,B4,450,0.754,1.4389312977099236,0.0003302527196841968
PM1_B5,3-2,PM1,192,B5,450,0.64,1.1149825783972127,0.0001948561618292418
PM1_B6,3-2,PM1,192,B6,450,1.017,1.5201793721973091,0.0002043489464620791
PM1_B7,3-2,PM1,192,B7,450,0.56,1.0980392156862746,7.4338408062558e-05
PM1_B8,3-2,PM1,192,B8,450,0.271,0.35611038107752957,0.00015346855901234867
PM1_B9,3-2,PM1,192,B9,450,1.222,3.1576227390180875,0.0037474765571001017
PM1_B10,3-2,PM1,192,B10,450,0.71,1.0456553755522826,0.00040878627351080164
PM1_B11,3-2,PM1,192,B11,450,0.277,0.5982721382289417,-0.00015069335292452294
PM1_B12,3-2,PM1,192,B12,450,1.284,3.317829457364341,0.00029103727174795705
PM1_C1,3-2,PM1,192,C1,450,0.327,0.75,-0.0034520794228490716
PM1_C2,3-2,PM1,192,C2,450,0.195,0.9027777777777778,0.00021312919444876704
PM1_C3,3-2,PM1,192,C3,450,1.946,3.0123839009287923,0.0010987790192728494
PM1_C4,3-2,PM1,192,C4,450,0.378,0.8915094339622642,-0.00022104384290388455
PM1_C5,3-2,PM1,192,C5,450,0.956,1.4183976261127595,-0.0001747032608348303
PM1_C6,3-2,PM1,192,C6,450,0.54,0.8940397350993379,-0.004820911227189959
PM1_C7,3-2,PM1,192,C7,450,1.143,1.2629834254143646,0.0008658320204893931
PM1_C8,3-2,PM1,192,C8,450,2.19,1.4969241285030757,-5.711675557411311e-05
PM1_C9,3-2,PM1,192,C9,450,0.709,0.8873591989987484,0.0037086459508841488
PM1_C10,3-2,PM1,192,C10,450,0.293,0.2515021459227468,0.002484179298423619
PM1_C11,3-2,PM1,192,C11,450,0.264,0.39819004524886875,-0.0024373419450670255
PM1_C12,3-2,PM1,192,C12,450,0.622,1.0798611111111112,0.0
PM1_D1,3-2,PM1,192,D1,450,0.575,1.1341222879684416,0.00021682616145946018
PM1_D2,3-2,PM1,192,D2,450,0.509,1.0451745379876798,-0.014546901169260164
PM1_D3,3-2,PM1,192,D3,450,0.489,1.225563909774436,0.0002548427923931689
PM1_D4,3-2,PM1,192,D4,450,0.615,1.0808435852372584,0.0
PM1_D5,3-2,PM1,192,D5,450,1.421,2.376254180602007,-0.0002352393921905516
PM1_D6,3-2,PM1,192,D6,450,0.341,1.2771535580524345,-0.003304576602411824
PM1_D7,3-2,PM1,192,D7,450,0.452,1.1414141414141414,0.000640334592846414
PM1_D8,3-2,PM1,192,D8,450,0.784,1.2604501607717042,0.00047559172018500796
PM1_D9,3-2,PM1,192,D9,450,0.261,0.2893569844789357,-0.0031492783819169617
PM1_D10,3-2,PM1,192,D10,450,1.425,1.207627118644068,0.000551884447917521
PM1_D11,3-2,PM1,192,D11,450,0.941,1.4107946026986504,0.0013076386960810503
PM1_D12,3-2,PM1,192,D12,450,0.767,1.0802816901408452,-0.00016329217503065498
PM1_E1,3-2,PM1,192,E1,450,0.451,1.1026894865525674,0.00018436608251481816
PM1_E2,3-2,PM1,192,E2,450,0.788,1.6213991769547327,0.0006817857171033359
PM1_E3,3-2,PM1,192,E3,450,0.55,1.1224489795918369,-0.0003805201484696911
PM1_E4,3-2,PM1,192,E4,450,0.319,1.049342105263158,0.0
PM1_E5,3-2,PM1,192,E5,450,1.654,2.09102402022756,-5.041339594638326e-05
PM1_E6,3-2,PM1,192,E6,450,0.481,0.9979253112033195,8.653516436829454e-05
PM1_E7,3-2,PM1,192,E7,450,0.199,0.3066255778120185,-0.0002099080845815492
PM1_E8,3-2,PM1,192,E8,450,0.672,1.2307692307692308,0.0006154715550130209
PM1_E9,3-2,PM1,192,E9,450,0.305,0.45454545454545453,-0.005857581275882889
PM1_E10,3-2,PM1,192,E10,450,1.061,1.3997361477572559,0.00042975845903184436
PM1_E11,3-2,PM1,192,E11,450,0.573,1.0070298769771528,0.00028985624138999714
PM1_E12,3-2,PM1,192,E12,450,0.475,0.8895131086142322,0.001210320226676284
PM1_F1,3-2,PM1,192,F1,450,0.477,1.0767494356659142,-0.0008828013841434926
PM1_F2,3-2,PM1,192,F2,450,0.648,1.3699788583509516,0.0006380931238767739
PM1_F3,3-2,PM1,192,F3,450,0.91,1.3037249283667622,0.00018274883096892783
PM1_F4,3-2,PM1,192,F4,450,0.19,0.4337899543378996,-0.0008865582686368736
PM1_F5,3-2,PM1,192,F5,450,1.398,3.9491525423728815,0.006779072516904862
PM1_F6,3-2,PM1,192,F6,450,0.238,0.9189189189189189,0.0006944605202171518
PM1_F7,3-2,PM1,192,F7,450,1.452,1.4578313253012047,-8.617721100245655e-05
PM1_F8,3-2,PM1,192,F8,450,0.305,1.2103174603174602,0.000542895845430579
PM1_F9,3-2,PM1,192,F9,450,0.688,1.2241992882562276,0.000839356920519479
PM1_F10,3-2,PM1,192,F10,450,0.659,0.594229035166817,0.001307052652818547
PM1_F11,3-2,PM1,192,F11,450,0.356,0.4564102564102564,-0.004053266984557244
PM1_F12,3-2,PM1,192,F12,450,0.717,1.0830815709969788,5.807201869182846e-05
PM1_G1,3-2,PM1,192,G1,450,0.21,0.5147058823529412,0.0005910264579981826
PM1_G2,3-2,PM1,192,G2,450,0.268,0.9781021897810219,0.0006172952410475284
PM1_G3,3-2,PM1,192,G3,450,0.38,1.0410958904109588,0.0003276556858422688
PM1_G4,3-2,PM1,192,G4,450,0.21,0.5147058823529412,0.00019794178160824162
PM1_G5,3-2,PM1,192,G5,450,0.479,1.1062355658198615,0.0
PM1_G6,3-2,PM1,192,G6,450,0.538,1.478021978021978,0.0006150173159633614
PM1_G7,3-2,PM1,192,G7,450,1.569,1.1175213675213675,-0.00010636040661579075
PM1_G8,3-2,PM1,192,G8,450,0.776,1.0883590462833101,5.365959101786191e-05
PM1_G9,3-2,PM1,192,G9,450,0.608,1.1280148423005565,0.0013485535209179882
PM1_G10,3-2,PM1,192,G10,450,0.181,0.9004975124378108,0.0009107830755207924
PM1_G11,3-2,PM1,192,G11,450,1.279,3.2135678391959797,0.001597844047266776
PM1_G12,3-2,PM1,192,G12,450,2.072,2.8579310344827586,6.028455355937582e-05
PM1_H1,3-2,PM1,192,H1,450,1.176,1.5806451612903225,0.0027753783388197954
PM1_H2,3-2,PM1,192,H2,450,0.495,0.99,0.00033534721595118396
PM1_H3,3-2,PM1,192,H3,450,0.506,1.0140280561122244,-0.00024777079948859595
PM1_H4,3-2,PM1,192,H4,450,0.434,1.1361256544502618,0.0003822656781683846
PM1_H5,3-2,PM1,192,H5,450,0.686,1.101123595505618,0.00024224874439248315
PM1_H6,3-2,PM1,192,H6,450,0.546,0.9069767441860466,-0.00022956899212373268
PM1_H7,3-2,PM1,192,H7,450,0.775,1.1584454409566516,0.00048108295821087287
PM1_H8,3-2,PM1,192,H8,450,0.399,1.033678756476684,-0.00010455881689274197
PM1_H9,3-2,PM1,192,H9,450,0.725,1.1471518987341771,0.00028636997032341875
PM1_H10,3-2,PM1,192,H10,450,0.808,1.147727272727273,0.0
PM1_H11,3-2,PM1,192,H11,450,0.2,0.7547169811320755,0.0
PM1_H12,3-2,PM1,192,H12,450,0.307,1.0336700336700337,0.00040518957883311585
PM1_A1,3-2,PM1,192,A1,600,0.224,0.49888641425389757,0.0027007291698529453
