ID,strain,plate,time,well,wavelength,od,fold,rate
PM2A_A1,4D,PM2A,20,A1,450,0.633,0.9921630094043887,-0.0007911399007407563
PM2A_A2,4D,PM2A,20,A2,450,0.515,0.9363636363636363,0.003375171804725631
PM2A_A3,4D,PM2A,20,A3,450,0.374,0.9765013054830287,0.0019973475083697153
PM2A_A4,4D,PM2A,20,A4,450,0.547,0.9873646209386282,0.002274810963778522
PM2A_A5,4D,PM2A,20,A5,450,0.408,0.9878934624697336,-0.18456690396010372
PM2A_A6,4D,PM2A,20,A6,450,0.704,1.098283931357254,-0.01274857400745345
PM2A_A7,4D,PM2A,20,A7,450,0.588,1.0,0.002116862774774649
PM2A_A8,4D,PM2A,20,A8,450,0.384,0.9846153846153846,-0.001960794365256473
PM2A_A9,4D,PM2A,20,A9,450,0.885,0.9536637931034483,0.009152436403140255
PM2A_A10,4D,PM2A,20,A10,450,0.472,0.989517819706499,0.0010570840273802762
PM2A_A11,4D,PM2A,20,A11,450,0.396,0.9777777777777777,-0.0012658254891366905
PM2A_A12,4D,PM2A,20,A12,450,0.256,1.0078740157480315,0.0019455351105137372
PM2A_B1,4D,PM2A,20,B1,450,0.64,1.0126582278481013,0.00039032014173810264
PM2A_B2,4D,PM2A,20,B2,450,0.489,0.9939024390243902,0.0005107254074500827
PM2A_B3,4D,PM2A,20,B3,450,0.589,1.0068376068376068,0.0016920538365347026
PM2A_B4,4D,PM2A,20,B4,450,0.529,1.029182879377432,0.0014137643708362641
PM2A_B5,4D,PM2A,20,B5,450,0.555,0.9840425531914896,-0.0031732066996047396
PM2A_B6,4D,PM2A,20,B6,450,0.545,0.9981684981684982,0.0018281617115716393
PM2A_B7,4D,PM2A,20,B7,450,0.589,1.0120274914089347,0.0016920538365347026
PM2A_B8,4D,PM2A,20,B8,450,0.614,1.0,0.0
PM2A_B9,4D,PM2A,20,B9,450,0.503,0.9562737642585551,0.0014866247969315758
PM2A_B10,4D,PM2A,20,B10,450,0.409,0.9808153477218226,0.0012195146133581933
PM2A_B11,4D,PM2A,20,B11,450,0.464,1.0197802197802197,0.0021459359228478588
PM2A_B12,4D,PM2A,20,B12,450,0.808,1.0978260869565217,0.0003092146343490501
PM2A_C1,4D,PM2A,20,C1,450,0.436,0.9064449064449065,0.0011441667568529734
PM2A_C2,4D,PM2A,20,C2,450,0.556,1.0183150183150182,0.002683388910777158
PM2A_C3,4D,PM2A,20,C3,450,0.611,1.001639344262295,0.0008169941911540032
PM2A_C4,4D,PM2A,20,C4,450,0.559,1.0,0.0
PM2A_C5,4D,PM2A,20,C5,450,0.58,1.0193321616871704,0.0068031408812211985
PM2A_C6,4D,PM2A,20,C6,450,0.577,0.9965457685664939,0.002157045305834547
PM2A_C7,4D,PM2A,20,C7,450,0.536,0.9925925925925926,-0.001403184226239359
PM2A_C8,4D,PM2A,20,C8,450,0.531,1.0075901328273245,0.0009398507309764364
PM2A_C9,4D,PM2A,20,C9,450,0.365,0.9972677595628415,0.0
PM2A_C10,4D,PM2A,20,C10,450,0.44,0.9843400447427293,-0.003432548202975505
PM2A_C11,4D,PM2A,20,C11,450,0.561,0.9842105263157896,0.003978863826474841
PM2A_C12,4D,PM2A,20,C12,450,0.527,1.0038095238095237,0.00047393379122479933
PM2A_D1,4D,PM2A,20,D1,450,0.505,1.0039761431411531,0.0034415489410369927
PM2A_D2,4D,PM2A,20,D2,450,0.589,1.0120274914089347,0.0012701128081047284
PM2A_D3,4D,PM2A,20,D3,450,0.68,1.0029498525073746,0.0011005153501594163
PM2A_D4,4D,PM2A,20,D4,450,0.641,1.0015625,0.0
PM2A_D5,4D,PM2A,20,D5,450,0.462,1.0087336244541485,0.00161812862640438
PM2A_D6,4D,PM2A,20,D6,450,0.629,1.0096308186195826,0.0011895343616041994
PM2A_D7,4D,PM2A,20,D7,450,0.662,1.0076103500761036,0.0018811224946538752
PM2A_D8,4D,PM2A,20,D8,450,0.579,1.0017301038062283,0.0008620698197289809
PM2A_D9,4D,PM2A,20,D9,450,0.909,1.1419597989949748,0.004632285117175148
PM2A_D10,4D,PM2A,20,D10,450,0.418,0.9881796690307328,0.0011933196881643976
PM2A_D11,4D,PM2A,20,D11,450,0.309,0.9686520376175548,0.0
PM2A_D12,4D,PM2A,20,D12,450,1.792,1.1165109034267913,0.0029126543049938186
PM2A_E1,4D,PM2A,20,E1,450,0.978,0.9888776541961577,0.0038052485025887924
PM2A_E2,4D,PM2A,20,E2,450,0.621,0.84375,0.002004822291654949
PM2A_E3,4D,PM2A,20,E3,450,0.208,0.9629629629629629,-0.0024154777279342147
PM2A_E4,4D,PM2A,20,E4,450,0.449,1.044186046511628,0.0
PM2A_E5,4D,PM2A,20,E5,450,0.374,0.9280397022332506,-0.0020134337017742067
PM2A_E6,4D,PM2A,20,E6,450,0.576,1.1428571428571428,-0.003496560493684988
PM2A_E7,4D,PM2A,20,E7,450,0.581,0.989778534923339,-0.00043066332786154544
