Time,T600,A1,A10,A11,A12,A2,A3,A4,A5,A6,A7,A8,A9,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C11,C12,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E8,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H4,H5,H6,H7,H8,H9
0,NaN,0.391,0.775,0.58,0.632,0.406,0.531,0.483,0.22,0.364,0.235,0.365,0.335,0.32,0.46,0.495,0.354,0.35,0.336,0.379,0.405,0.494,0.359,0.418,0.274,0.352,0.657,0.416,0.44,0.17,0.522,0.291,0.974,0.439,0.633,1.058,0.562,0.402,0.715,0.635,0.473,0.245,0.297,0.445,0.674,0.217,0.319,0.446,0.708,0.354,0.584,0.392,0.303,0.383,0.327,0.224,1.101,0.285,0.365,0.45,0.475,0.311,1.073,0.649,0.449,0.36,0.491,0.337,0.26,0.173,0.807,0.38,0.462,0.219,0.167,0.496,0.421,0.194,0.256,0.332,0.318,0.356,1.188,0.506,0.289,0.457,0.367,0.236,0.201,0.375,0.425,0.346,0.33,0.269,0.377,0.273,0.4
20,NaN,0.377,0.816,0.603,0.642,0.41,0.549,0.508,0.222,0.37,0.228,0.356,0.334,0.319,0.465,0.506,0.344,0.346,0.323,0.387,0.408,0.527,0.228,0.414,0.265,0.391,0.676,0.453,0.434,0.157,0.549,0.282,0.453,0.459,0.661,1.227,0.589,0.395,0.753,0.645,0.5,0.227,0.296,0.478,0.377,0.208,0.317,0.455,0.744,0.337,0.601,0.385,0.293,0.412,0.327,0.218,0.486,0.255,0.36,0.503,0.483,0.265,1.011,0.669,0.453,0.372,0.503,0.327,0.263,0.166,1.023,0.266,0.474,0.21,0.157,0.516,0.434,0.178,0.259,0.317,0.312,0.323,1.293,0.469,0.284,0.47,0.367,0.226,0.19,0.401,0.436,0.335,0.328,0.267,0.373,0.259,0.403
24,NaN,0.375,0.819,0.601,0.64,0.416,0.547,0.512,0.215,0.37,0.23,0.358,0.332,0.319,0.469,0.509,0.345,0.348,0.32,0.389,0.409,0.531,0.226,0.402,0.267,0.382,0.678,0.445,0.438,0.161,0.555,0.273,0.455,0.463,0.665,1.221,0.585,0.396,0.758,0.644,0.497,0.228,0.298,0.482,0.379,0.208,0.324,0.461,0.748,0.339,0.606,0.387,0.291,0.415,0.33,0.218,0.488,0.255,0.361,0.502,0.485,0.268,0.989,0.669,0.451,0.375,0.503,0.33,0.265,0.165,1.022,0.264,0.479,0.208,0.157,0.515,0.435,0.179,0.258,0.324,0.317,0.323,1.3,0.468,0.284,0.467,0.368,0.229,0.19,0.406,0.44,0.334,0.328,0.264,0.371,0.25,0.408
28,NaN,0.376,0.814,0.604,0.641,0.418,0.543,0.517,0.208,0.369,0.23,0.359,0.334,0.322,0.469,0.51,0.345,0.35,0.316,0.385,0.409,0.534,0.226,0.401,0.267,0.38,0.676,0.445,0.441,0.16,0.56,0.271,0.453,0.462,0.678,1.228,0.59,0.396,0.753,0.645,0.493,0.224,0.302,0.479,0.379,0.205,0.319,0.464,0.748,0.34,0.603,0.39,0.288,0.419,0.331,0.222,0.491,0.252,0.356,0.503,0.489,0.27,0.955,0.67,0.449,0.375,0.505,0.337,0.269,0.164,1.028,0.264,0.485,0.207,0.155,0.519,0.437,0.177,0.261,0.323,0.32,0.326,1.295,0.468,0.282,0.474,0.37,0.23,0.19,0.403,0.443,0.335,0.327,0.265,0.373,0.249,0.408
48,NaN,0.379,0.827,0.621,0.652,0.413,0.55,0.534,0.208,0.373,0.23,0.359,0.334,0.323,0.47,0.513,0.343,0.345,0.312,0.392,0.406,0.556,0.227,0.416,0.268,0.397,0.685,0.455,0.443,0.154,0.58,0.274,0.47,0.476,0.684,1.246,0.609,0.398,0.758,0.654,0.493,0.228,0.303,0.483,0.397,0.202,0.317,0.47,0.761,0.341,0.601,0.382,0.29,0.441,0.332,0.225,0.496,0.253,0.36,0.507,0.498,0.265,0.727,0.685,0.45,0.388,0.515,0.337,0.266,0.162,0.885,0.276,0.488,0.205,0.155,0.53,0.446,0.177,0.258,0.323,0.323,0.332,1.295,0.476,0.289,0.482,0.371,0.23,0.19,0.406,0.446,0.335,0.329,0.269,0.38,0.252,0.409
72,NaN,0.376,0.827,0.624,0.652,0.413,0.552,0.557,0.199,0.379,0.23,0.358,0.337,0.324,0.467,0.509,0.336,0.35,0.29,0.401,0.409,0.564,0.223,0.414,0.266,0.403,0.735,0.458,0.438,0.154,0.603,0.242,0.481,0.486,0.694,1.256,0.601,0.402,0.752,0.616,0.495,0.226,0.307,0.489,0.418,0.203,0.325,0.462,0.767,0.343,0.434,0.386,0.291,0.463,0.335,0.221,0.496,0.249,0.363,0.508,0.495,0.266,0.433,0.688,0.45,0.399,0.523,0.337,0.268,0.16,0.829,0.263,0.488,0.201,0.151,0.536,0.449,0.174,0.257,0.322,0.327,0.33,1.309,0.475,0.293,0.49,0.373,0.228,0.189,0.409,0.448,0.335,0.329,0.267,0.384,0.257,0.41
96,NaN,0.373,0.836,0.625,0.653,0.418,0.554,0.568,0.202,0.383,0.248,0.36,0.339,0.324,0.468,0.513,0.329,0.349,0.201,0.403,0.411,0.566,0.32,0.404,0.266,0.398,0.729,0.457,0.444,0.152,0.609,0.187,0.487,0.492,0.695,1.263,0.577,0.402,0.642,0.338,0.496,0.224,0.303,0.489,0.429,0.203,0.327,0.468,0.77,0.343,0.249,0.388,0.291,0.476,0.332,0.221,0.494,0.248,0.363,0.515,0.491,0.27,0.234,0.691,0.452,0.403,0.521,0.34,0.266,0.158,0.841,0.253,0.5,0.181,0.146,0.544,0.454,0.176,0.255,0.321,0.326,0.329,1.313,0.474,0.283,0.485,0.373,0.217,0.191,0.413,0.453,0.335,0.33,0.262,0.383,0.257,0.416
120,NaN,0.37,0.84,0.637,0.654,0.42,0.557,0.599,0.195,0.387,0.23,0.361,0.341,0.323,0.46,0.504,0.198,0.349,0.156,0.41,0.415,0.559,0.32,0.417,0.262,0.413,0.333,0.462,0.445,0.15,0.624,0.167,0.499,0.502,0.703,1.262,0.302,0.405,0.233,0.193,0.497,0.227,0.305,0.488,0.446,0.203,0.33,0.474,0.78,0.345,0.171,0.39,0.295,0.497,0.333,0.226,0.498,0.248,0.366,0.521,0.491,0.264,0.275,0.694,0.452,0.413,0.528,0.335,0.275,0.158,0.785,0.259,0.506,0.162,0.149,0.553,0.462,0.17,0.257,0.328,0.331,0.228,1.316,0.471,0.287,0.506,0.375,0.188,0.19,0.416,0.456,0.336,0.332,0.268,0.392,0.254,0.414
144,NaN,0.368,0.834,0.653,0.661,0.421,0.562,0.621,0.196,0.393,0.231,0.364,0.342,0.323,0.449,0.32,0.172,0.35,0.154,0.415,0.416,0.527,0.316,0.417,0.256,0.416,0.279,0.467,0.447,0.15,0.632,0.161,0.508,0.51,0.712,1.265,0.209,0.409,0.176,0.174,0.497,0.226,0.306,0.49,0.457,0.203,0.33,0.472,0.789,0.344,0.155,0.395,0.296,0.509,0.332,0.221,0.5,0.251,0.368,0.527,0.489,0.257,0.387,0.7,0.455,0.415,0.525,0.337,0.27,0.156,0.789,0.257,0.511,0.157,0.143,0.565,0.47,0.166,0.262,0.324,0.337,0.163,1.309,0.473,0.291,0.506,0.377,0.162,0.185,0.419,0.454,0.335,0.333,0.267,0.391,0.252,0.421
168,NaN,0.37,0.796,0.671,0.667,0.424,0.562,0.649,0.214,0.401,0.233,0.367,0.346,0.325,0.374,0.182,0.163,0.354,0.154,0.416,0.414,0.322,0.307,0.421,0.23,0.422,0.277,0.474,0.449,0.152,0.639,0.157,0.518,0.521,0.724,1.264,0.178,0.41,0.159,0.16,0.499,0.227,0.308,0.491,0.467,0.202,0.331,0.481,0.801,0.347,0.153,0.392,0.295,0.524,0.335,0.218,0.501,0.25,0.369,0.532,0.492,0.228,0.463,0.708,0.455,0.417,0.505,0.338,0.264,0.153,0.78,0.258,0.518,0.153,0.145,0.584,0.486,0.148,0.264,0.325,0.333,0.156,1.319,0.475,0.287,0.518,0.384,0.157,0.187,0.414,0.455,0.338,0.333,0.269,0.396,0.256,0.42
