Time,T600,A1,A10,A11,A12,A2,A3,A4,A5,A6,A7,A8,A9,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C11,C12,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E8,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H4,H5,H6,H7,H8,H9
0,NaN,0.449,0.852,0.44,0.818,0.466,0.373,0.437,0.285,0.421,0.347,0.295,0.325,0.36,0.504,0.349,0.295,0.511,0.294,0.393,0.443,0.493,0.39,0.486,0.292,0.326,0.855,0.488,0.429,0.171,0.508,0.246,0.494,0.468,0.67,1.04,0.576,0.388,0.874,0.506,0.544,0.369,0.297,0.438,0.447,0.212,0.312,0.44,0.69,0.315,0.536,0.423,0.404,0.391,0.373,0.228,0.592,0.361,0.477,0.401,0.508,0.342,0.956,0.573,0.503,0.379,0.513,0.329,0.279,0.204,0.747,0.212,0.445,0.303,0.165,0.308,0.557,0.22,0.275,0.317,0.33,0.28,1.101,0.526,0.404,0.597,0.541,0.208,0.227,0.389,0.388,0.291,0.477,0.318,0.488,0.302,0.482
20,NaN,0.414,0.895,0.498,0.855,0.481,0.318,0.484,0.259,0.451,0.352,0.308,0.377,0.363,0.501,0.373,0.301,0.536,0.29,0.438,0.457,0.554,0.4,0.493,0.313,0.335,0.903,0.556,0.432,0.163,0.561,0.245,0.564,0.546,0.708,1.165,0.617,0.397,0.931,0.541,0.549,0.37,0.323,0.436,0.489,0.215,0.315,0.466,0.721,0.32,0.564,0.416,0.351,0.445,0.383,0.232,0.596,0.353,0.512,0.421,0.528,0.353,0.858,0.62,0.513,0.417,0.557,0.334,0.281,0.189,0.685,0.258,0.477,0.258,0.159,0.369,0.599,0.212,0.277,0.308,0.33,0.295,1.245,0.535,0.402,0.497,0.578,0.226,0.224,0.432,0.389,0.311,0.491,0.321,0.513,0.294,0.516
24,NaN,0.419,0.899,0.505,0.86,0.486,0.317,0.496,0.263,0.459,0.352,0.312,0.374,0.364,0.503,0.377,0.305,0.537,0.292,0.448,0.459,0.568,0.398,0.498,0.318,0.336,0.911,0.558,0.434,0.163,0.573,0.245,0.571,0.556,0.719,1.186,0.628,0.399,0.937,0.55,0.551,0.37,0.326,0.439,0.505,0.216,0.316,0.47,0.726,0.321,0.575,0.418,0.351,0.454,0.385,0.232,0.603,0.354,0.518,0.423,0.531,0.355,0.828,0.628,0.516,0.422,0.564,0.336,0.287,0.19,0.687,0.267,0.479,0.255,0.158,0.379,0.609,0.213,0.276,0.311,0.33,0.299,1.249,0.541,0.401,0.505,0.588,0.226,0.225,0.397,0.388,0.309,0.494,0.32,0.518,0.29,0.524
28,NaN,0.418,0.906,0.511,0.865,0.484,0.318,0.502,0.257,0.464,0.357,0.313,0.372,0.364,0.498,0.379,0.304,0.543,0.288,0.452,0.46,0.579,0.402,0.488,0.314,0.339,0.917,0.567,0.436,0.163,0.585,0.24,0.576,0.57,0.72,1.205,0.633,0.401,0.947,0.552,0.558,0.372,0.331,0.442,0.525,0.205,0.315,0.475,0.741,0.325,0.582,0.419,0.345,0.461,0.39,0.233,0.613,0.355,0.519,0.425,0.534,0.36,0.793,0.631,0.52,0.426,0.569,0.336,0.287,0.19,0.685,0.272,0.478,0.262,0.158,0.391,0.622,0.215,0.276,0.309,0.332,0.297,1.248,0.545,0.4,0.511,0.589,0.228,0.225,0.386,0.39,0.312,0.497,0.321,0.521,0.294,0.526
48,NaN,0.427,0.93,0.547,0.894,0.513,0.333,0.55,0.293,0.493,0.362,0.326,0.372,0.364,0.513,0.402,0.32,0.556,0.298,0.49,0.476,0.621,0.41,0.494,0.34,0.354,0.937,0.594,0.444,0.163,0.652,0.246,0.629,0.621,0.752,1.316,0.66,0.408,0.995,0.584,0.577,0.378,0.343,0.45,0.797,0.224,0.325,0.492,0.758,0.341,0.618,0.428,0.352,0.499,0.406,0.231,0.727,0.354,0.527,0.445,0.549,0.361,0.61,0.656,0.533,0.445,0.595,0.339,0.296,0.19,0.697,0.274,0.502,0.264,0.166,0.451,1.114,0.216,0.274,0.315,0.349,0.307,1.256,0.564,0.411,0.538,0.604,0.214,0.231,0.402,0.394,0.329,0.522,0.324,0.534,0.3,0.54
72,NaN,0.358,0.936,0.558,0.919,0.536,0.343,0.608,0.5,0.487,0.366,0.33,0.374,0.37,0.515,0.479,0.346,0.584,0.299,0.519,0.477,0.677,0.422,0.472,0.346,0.365,0.962,0.612,0.45,0.162,0.953,0.244,0.674,0.658,0.793,1.588,0.716,0.415,1.022,0.614,0.588,0.388,0.353,0.456,1.092,0.244,0.33,0.51,0.769,0.343,0.656,0.425,0.353,0.548,0.409,0.233,1.075,0.351,0.508,0.465,0.567,0.361,0.376,0.656,0.535,0.467,0.622,0.338,0.3,0.188,0.739,0.269,0.508,0.266,0.158,0.585,1.748,0.216,0.277,0.307,0.376,0.324,1.26,0.569,0.413,0.564,0.609,0.176,0.234,0.396,0.389,0.33,0.529,0.324,0.54,0.305,0.544
96,NaN,0.216,0.926,0.563,0.946,0.552,0.34,0.633,0.619,0.471,0.373,0.333,0.375,0.368,0.523,0.299,0.368,0.606,0.306,0.532,0.478,0.699,0.431,0.241,0.344,0.365,0.701,0.628,0.458,0.162,1.252,0.245,0.706,0.696,0.781,1.741,0.581,0.421,1.044,0.622,0.588,0.391,0.357,0.459,1.18,0.239,0.335,0.515,0.749,0.341,0.685,0.421,0.345,0.575,0.414,0.234,1.322,0.357,0.296,0.476,0.574,0.365,0.249,0.476,0.531,0.481,0.637,0.332,0.312,0.191,0.794,0.262,0.517,0.235,0.158,0.699,1.968,0.214,0.279,0.243,0.397,0.336,1.255,0.572,0.415,0.597,0.621,0.174,0.235,0.391,0.387,0.332,0.527,0.329,0.543,0.309,0.545
120,NaN,0.161,0.474,0.437,0.988,0.563,0.343,0.679,0.603,0.266,0.374,0.34,0.386,0.367,0.531,0.227,0.443,0.625,0.322,0.547,0.481,0.74,0.416,0.182,0.404,0.357,0.274,0.548,0.458,0.159,1.594,0.242,0.697,0.723,0.825,1.822,0.456,0.428,1.038,0.656,0.588,0.394,0.35,0.462,1.246,0.249,0.336,0.532,0.577,0.349,0.711,0.427,0.341,0.61,0.413,0.238,1.654,0.357,0.184,0.479,0.578,0.361,0.377,0.262,0.541,0.498,0.657,0.248,0.324,0.188,0.982,0.265,0.523,0.192,0.155,0.86,2.067,0.215,0.278,0.182,0.373,0.354,1.257,0.567,0.419,0.664,0.616,0.171,0.232,0.393,0.39,0.33,0.526,0.324,0.551,0.306,0.549
144,NaN,0.149,0.284,0.289,1.027,0.58,0.346,0.715,0.664,0.205,0.379,0.344,0.387,0.37,0.528,0.244,0.58,0.645,0.39,0.559,0.484,0.767,0.421,0.168,0.747,0.347,0.246,0.271,0.462,0.158,1.783,0.241,0.687,0.733,0.855,1.855,0.499,0.435,1.064,0.688,0.587,0.394,0.358,0.474,1.328,0.248,0.344,0.541,0.312,0.349,0.742,0.425,0.344,0.638,0.413,0.236,1.734,0.358,0.17,0.488,0.572,0.363,0.457,0.232,0.543,0.518,0.678,0.187,0.536,0.188,1.26,0.258,0.527,0.176,0.153,0.98,2.094,0.214,0.286,0.17,0.347,0.377,1.258,0.571,0.424,0.76,0.623,0.169,0.234,0.398,0.395,0.335,0.529,0.327,0.56,0.31,0.552
168,NaN,0.149,0.224,0.242,1.077,0.595,0.349,0.75,0.691,0.188,0.383,0.346,0.394,0.373,0.533,0.237,0.906,0.668,0.563,0.573,0.489,0.79,0.418,0.163,1.014,0.286,0.238,0.224,0.465,0.154,1.921,0.243,0.674,0.554,0.877,1.886,0.535,0.442,1.091,0.724,0.589,0.392,0.362,0.481,1.405,0.251,0.351,0.558,0.221,0.352,0.773,0.431,0.361,0.665,0.414,0.24,1.698,0.359,0.159,0.491,0.38,0.364,0.504,0.279,0.546,0.538,0.7,0.159,1.045,0.187,1.288,0.256,0.552,0.174,0.156,1.092,2.11,0.212,0.281,0.166,0.364,0.399,1.254,0.572,0.439,0.871,0.631,0.168,0.234,0.398,0.395,0.335,0.53,0.327,0.568,0.313,0.559
