Time,T600,A1,A10,A11,A12,A2,A3,A4,A5,A6,A7,A8,A9,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C11,C12,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E8,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H4,H5,H6,H7,H8,H9
0,NaN,0.374,0.757,0.641,0.641,0.38,0.437,0.5,0.258,0.248,0.222,0.293,0.375,0.336,0.423,0.657,0.315,0.354,0.31,0.406,0.411,0.352,0.31,0.26,0.32,0.198,0.701,0.462,0.477,0.167,0.506,0.298,0.428,0.258,0.639,0.983,0.654,0.374,0.602,0.756,0.475,0.219,0.337,0.405,0.473,0.201,0.317,0.451,0.754,0.356,0.459,0.44,0.212,0.312,0.333,0.263,0.57,0.334,0.367,0.457,0.721,0.224,1.128,0.755,0.448,0.299,0.547,0.376,0.319,0.174,0.617,0.252,0.467,0.214,0.163,0.429,0.439,0.209,0.246,0.375,0.38,0.337,1.234,0.447,0.361,0.373,0.297,0.263,0.271,0.408,0.379,0.328,0.355,0.259,0.382,0.275,0.416
20,NaN,0.366,0.802,0.685,0.664,0.4,0.434,0.527,0.264,0.274,0.224,0.3,0.368,0.331,0.416,0.672,0.307,0.357,0.299,0.425,0.411,0.392,0.308,0.257,0.316,0.193,0.728,0.512,0.47,0.159,0.54,0.288,0.398,0.317,0.674,1.084,0.687,0.372,0.626,0.781,0.472,0.208,0.333,0.483,0.455,0.191,0.315,0.463,0.802,0.342,0.476,0.429,0.224,0.334,0.337,0.247,0.524,0.326,0.371,0.48,0.732,0.217,1.092,0.787,0.475,0.31,0.572,0.374,0.286,0.163,0.654,0.269,0.491,0.197,0.156,0.442,0.459,0.192,0.237,0.36,0.353,0.338,1.301,0.44,0.354,0.42,0.304,0.269,0.171,0.456,0.365,0.408,0.35,0.257,0.388,0.271,0.426
24,NaN,0.368,0.81,0.687,0.661,0.407,0.44,0.531,0.268,0.278,0.221,0.3,0.348,0.335,0.419,0.686,0.307,0.361,0.3,0.425,0.414,0.403,0.319,0.258,0.319,0.193,0.74,0.536,0.471,0.158,0.547,0.288,0.402,0.332,0.67,1.095,0.696,0.375,0.639,0.785,0.473,0.208,0.344,0.514,0.459,0.195,0.323,0.467,0.803,0.331,0.477,0.43,0.234,0.342,0.337,0.245,0.52,0.325,0.372,0.479,0.743,0.22,1.083,0.792,0.484,0.314,0.566,0.374,0.277,0.162,0.665,0.27,0.491,0.195,0.156,0.445,0.463,0.19,0.228,0.36,0.349,0.348,1.316,0.441,0.352,0.427,0.303,0.257,0.172,0.451,0.369,0.408,0.352,0.256,0.39,0.272,0.427
28,NaN,0.371,0.818,0.695,0.666,0.411,0.438,0.536,0.27,0.284,0.221,0.304,0.352,0.334,0.419,0.677,0.308,0.359,0.3,0.435,0.412,0.413,0.323,0.259,0.32,0.195,0.741,0.518,0.473,0.158,0.555,0.292,0.401,0.345,0.683,1.101,0.695,0.377,0.636,0.789,0.474,0.207,0.344,0.449,0.46,0.196,0.32,0.47,0.818,0.332,0.483,0.432,0.233,0.351,0.342,0.246,0.527,0.327,0.379,0.488,0.739,0.218,1.06,0.797,0.49,0.321,0.578,0.378,0.276,0.163,0.669,0.27,0.495,0.194,0.156,0.45,0.469,0.191,0.231,0.361,0.345,0.326,1.321,0.445,0.355,0.427,0.302,0.261,0.17,0.443,0.368,0.401,0.353,0.256,0.389,0.274,0.429
48,NaN,0.373,0.83,0.709,0.67,0.419,0.441,0.553,0.276,0.302,0.223,0.306,0.349,0.338,0.423,0.69,0.308,0.368,0.302,0.447,0.418,0.441,0.33,0.261,0.32,0.194,0.754,0.519,0.474,0.157,0.579,0.294,0.406,0.389,0.701,1.124,0.715,0.38,0.645,0.795,0.475,0.208,0.348,0.452,0.465,0.197,0.326,0.48,0.823,0.334,0.492,0.434,0.234,0.383,0.345,0.249,0.529,0.344,0.379,0.497,0.753,0.217,0.928,0.806,0.489,0.344,0.591,0.377,0.271,0.162,0.676,0.272,0.503,0.194,0.155,0.461,0.481,0.19,0.234,0.362,0.345,0.346,1.33,0.442,0.355,0.429,0.306,0.264,0.168,0.442,0.373,0.405,0.352,0.257,0.393,0.273,0.434
72,NaN,0.378,0.861,0.675,0.679,0.437,0.453,0.593,0.283,0.309,0.228,0.312,0.354,0.341,0.422,0.705,0.309,0.373,0.305,0.469,0.424,0.482,0.344,0.265,0.319,0.202,0.775,0.548,0.48,0.156,0.627,0.293,0.407,0.437,0.709,1.162,0.733,0.388,0.66,0.816,0.482,0.209,0.353,0.464,0.474,0.203,0.346,0.495,0.863,0.335,0.516,0.437,0.253,0.443,0.354,0.249,0.536,0.323,0.385,0.515,0.752,0.221,0.686,0.829,0.506,0.396,0.604,0.385,0.279,0.162,0.688,0.273,0.522,0.195,0.153,0.483,0.507,0.191,0.235,0.369,0.338,0.349,1.346,0.445,0.361,0.431,0.311,0.264,0.167,0.455,0.377,0.368,0.366,0.253,0.402,0.272,0.443
96,NaN,0.382,0.873,0.376,0.685,0.439,0.456,0.621,0.279,0.31,0.226,0.304,0.349,0.342,0.428,0.715,0.312,0.362,0.313,0.486,0.427,0.503,0.401,0.266,0.325,0.195,0.783,0.526,0.48,0.157,0.654,0.294,0.4,0.453,0.726,1.147,0.749,0.389,0.667,0.819,0.489,0.209,0.352,0.463,0.49,0.206,0.351,0.496,0.869,0.342,0.523,0.439,0.192,0.473,0.347,0.238,0.532,0.231,0.383,0.519,0.763,0.216,0.491,0.837,0.477,0.427,0.621,0.382,0.275,0.163,0.706,0.274,0.52,0.203,0.152,0.499,0.523,0.187,0.233,0.368,0.304,0.385,1.346,0.443,0.363,0.317,0.315,0.265,0.165,0.44,0.375,0.249,0.381,0.2,0.405,0.268,0.447
120,NaN,0.384,0.865,0.286,0.695,0.432,0.465,0.66,0.281,0.243,0.231,0.306,0.357,0.352,0.432,0.749,0.318,0.214,0.309,0.495,0.44,0.523,0.423,0.265,0.321,0.181,0.806,0.56,0.483,0.155,0.683,0.292,0.387,0.396,0.743,1.161,0.783,0.392,0.685,0.83,0.497,0.211,0.357,0.469,0.501,0.21,0.391,0.511,0.882,0.35,0.537,0.441,0.193,0.511,0.347,0.24,0.535,0.244,0.383,0.529,0.782,0.225,0.282,0.852,0.468,0.469,0.629,0.384,0.282,0.158,0.716,0.275,0.514,0.208,0.152,0.519,0.562,0.186,0.233,0.368,0.193,0.421,1.347,0.428,0.366,0.171,0.322,0.248,0.166,0.451,0.382,0.158,0.415,0.173,0.411,0.248,0.451
144,NaN,0.383,0.641,0.281,0.714,0.283,0.461,0.698,0.282,0.211,0.232,0.299,0.355,0.353,0.431,0.745,0.315,0.166,0.304,0.511,0.452,0.539,0.412,0.257,0.328,0.183,0.814,0.536,0.484,0.153,0.71,0.292,0.261,0.38,0.762,1.165,0.788,0.397,0.691,0.833,0.475,0.211,0.358,0.468,0.503,0.215,0.423,0.513,0.905,0.353,0.556,0.441,0.169,0.546,0.354,0.242,0.536,0.25,0.392,0.494,0.778,0.224,0.391,0.866,0.47,0.5,0.648,0.389,0.279,0.162,0.721,0.275,0.475,0.209,0.15,0.538,0.592,0.189,0.236,0.373,0.165,0.42,1.353,0.37,0.367,0.157,0.326,0.2,0.164,0.448,0.378,0.157,0.366,0.17,0.417,0.201,0.456
168,NaN,0.385,0.249,0.282,0.743,0.209,0.461,0.736,0.287,0.194,0.234,0.23,0.349,0.357,0.434,0.766,0.318,0.158,0.292,0.521,0.472,0.561,0.391,0.199,0.334,0.183,0.83,0.536,0.493,0.153,0.732,0.291,0.198,0.372,0.783,1.172,0.809,0.401,0.704,0.849,0.483,0.211,0.358,0.474,0.504,0.224,0.441,0.523,0.925,0.353,0.574,0.445,0.167,0.582,0.357,0.243,0.535,0.254,0.396,0.332,0.79,0.225,0.473,0.883,0.471,0.528,0.663,0.391,0.286,0.163,0.733,0.274,0.268,0.208,0.15,0.551,0.625,0.188,0.238,0.373,0.158,0.443,1.358,0.261,0.369,0.157,0.33,0.17,0.164,0.451,0.377,0.155,0.301,0.169,0.423,0.171,0.46
