Time,T600,A1,A10,A11,A12,A2,A3,A4,A5,A6,A7,A8,A9,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C11,C12,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E8,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H4,H5,H6,H7,H8,H9
0,NaN,0.491,0.455,0.287,0.211,0.326,0.369,0.459,0.379,0.376,0.487,0.418,0.471,0.542,0.399,0.455,0.666,0.203,0.449,0.508,0.427,0.372,0.436,0.446,0.397,0.363,0.528,0.349,0.5,0.486,0.433,0.428,0.468,0.517,0.486,0.423,0.471,0.395,0.384,0.303,1.22,0.487,0.427,0.506,0.343,0.446,0.451,0.505,0.737,0.768,0.31,0.266,0.411,0.417,0.176,0.354,0.253,0.398,0.345,0.424,0.606,0.396,0.353,0.479,0.433,0.601,0.367,0.298,0.525,0.42,0.148,0.373,0.447,0.428,0.562,0.347,0.519,0.384,0.355,0.382,0.417,0.409,0.482,0.513,0.336,0.405,0.454,0.38,0.5,0.275,0.385,0.259,0.366,0.297,0.46,0.332,0.406
16,NaN,0.516,0.472,0.257,0.22,0.321,0.389,0.468,0.393,0.4,0.505,0.428,0.493,0.561,0.403,0.475,0.73,0.21,0.472,0.546,0.445,0.382,0.452,0.454,0.48,0.374,0.548,0.365,0.52,0.503,0.449,0.446,0.486,0.538,0.51,0.442,0.492,0.407,0.38,0.286,0.97,0.508,0.446,0.53,0.357,0.461,0.469,0.525,1.117,0.784,0.31,0.263,0.422,0.784,0.188,0.397,0.247,0.402,0.346,0.434,0.642,0.398,0.36,0.539,0.497,0.683,0.379,0.36,0.593,0.44,0.148,0.389,0.482,0.44,0.814,0.355,0.591,0.392,0.372,0.387,0.432,0.416,0.499,0.529,0.446,0.417,0.461,0.388,0.514,0.257,0.408,0.278,0.422,0.299,0.508,0.334,0.368
24,NaN,0.526,0.476,0.279,0.221,0.32,0.395,0.47,0.399,0.408,0.511,0.43,0.497,0.56,0.41,0.484,0.731,0.213,0.47,0.581,0.447,0.387,0.454,0.43,0.493,0.37,0.558,0.371,0.531,0.516,0.45,0.451,0.485,0.549,0.528,0.434,0.499,0.413,0.341,0.31,0.938,0.518,0.447,0.537,0.36,0.466,0.474,0.53,1.085,0.799,0.315,0.268,0.428,0.815,0.185,0.408,0.247,0.409,0.338,0.442,0.657,0.408,0.357,0.554,0.507,0.694,0.384,0.368,0.602,0.44,0.147,0.392,0.477,0.447,0.199,0.36,0.608,0.404,0.38,0.385,0.432,0.42,0.506,0.533,0.481,0.43,0.469,0.384,0.528,0.238,0.413,0.296,0.411,0.3,0.533,0.339,0.242
48,NaN,0.54,0.479,0.237,0.229,0.339,0.409,0.486,0.41,0.431,0.527,0.43,0.509,0.577,0.417,0.498,0.75,0.224,0.487,0.631,0.472,0.403,0.474,0.458,0.495,0.38,0.577,0.384,0.543,0.536,0.474,0.469,0.508,0.568,0.53,0.449,0.505,0.436,0.372,0.315,1.047,0.528,0.466,0.572,0.365,0.474,0.498,0.545,1.158,0.785,0.316,0.271,0.439,0.811,0.179,0.424,0.26,0.419,0.338,0.456,0.659,0.419,0.377,0.581,0.536,0.727,0.393,0.386,0.645,0.459,0.149,0.4,0.502,0.462,0.206,0.365,0.622,0.421,0.384,0.395,0.448,0.43,0.505,0.539,0.473,0.432,0.483,0.387,0.539,0.302,0.43,0.309,0.427,0.305,0.558,0.348,0.243
72,NaN,0.57,0.408,0.257,0.273,0.373,0.446,0.515,0.443,0.479,0.582,0.401,0.541,0.611,0.428,0.535,0.778,0.249,0.512,0.698,0.498,0.444,0.526,0.484,0.564,0.418,0.625,0.429,0.592,0.567,0.518,0.515,0.559,0.62,0.569,0.494,0.524,0.462,0.389,0.352,1.264,0.554,0.506,0.613,0.386,0.515,0.546,0.588,1.283,0.784,0.325,0.287,0.464,0.885,0.156,0.45,0.268,0.43,0.345,0.563,0.707,0.443,0.417,0.669,0.652,0.788,0.406,0.414,0.665,0.501,0.15,0.412,0.518,0.519,0.227,0.399,0.647,0.46,0.411,0.438,0.455,0.44,0.532,0.563,0.501,0.269,0.524,0.395,0.582,0.288,0.446,0.325,0.468,0.341,0.643,0.378,0.244
96,NaN,0.59,0.553,0.204,0.285,0.394,0.449,0.502,0.454,0.477,0.582,0.257,0.554,0.6,0.303,0.548,0.783,0.242,0.518,0.718,0.492,0.448,0.517,0.462,0.309,0.405,0.632,0.431,0.606,0.565,0.522,0.551,0.577,0.645,0.604,0.522,0.547,0.45,0.328,0.347,1.206,0.446,0.502,0.632,0.404,0.526,0.572,0.598,1.28,0.788,0.32,0.284,0.462,0.867,0.155,0.475,0.275,0.433,0.372,0.83,0.75,0.48,0.441,0.752,0.724,0.823,0.435,0.411,0.685,0.514,0.18,0.441,0.509,0.522,0.236,0.402,0.641,0.469,0.424,0.434,0.462,0.456,0.546,0.576,0.533,0.233,0.532,0.398,0.593,0.289,0.468,0.329,0.473,0.346,0.703,0.376,0.237
120,NaN,0.593,0.544,0.194,0.299,0.428,0.453,0.323,0.454,0.496,0.581,0.208,0.552,0.619,0.192,0.545,0.816,0.24,0.53,0.748,0.495,0.457,0.519,0.474,0.194,0.314,0.637,0.43,0.606,0.564,0.541,0.55,0.564,0.629,0.584,0.509,0.534,0.459,0.316,0.358,1.216,0.268,0.512,0.62,0.239,0.531,0.549,0.599,1.343,0.789,0.317,0.296,0.459,0.903,0.16,0.523,0.283,0.427,0.372,1.032,0.765,0.683,0.458,0.812,0.789,0.9,0.399,0.407,0.679,0.525,0.146,0.434,0.522,0.529,0.245,0.398,0.61,0.481,0.42,0.442,0.476,0.459,0.55,0.577,0.582,0.187,0.534,0.401,0.589,0.311,0.493,0.339,0.489,0.343,0.743,0.381,0.246
144,NaN,0.592,0.512,0.219,0.308,0.436,0.449,0.243,0.46,0.514,0.59,0.253,0.556,0.616,0.189,0.542,0.837,0.248,0.534,0.746,0.492,0.473,0.532,0.437,0.261,0.206,0.647,0.437,0.609,0.568,0.525,0.535,0.569,0.641,0.598,0.514,0.541,0.464,0.468,0.222,1.229,0.246,0.52,0.626,0.222,0.54,0.565,0.613,1.383,0.797,0.334,0.313,0.461,0.856,0.232,0.543,0.296,0.438,0.352,1.075,0.792,0.67,0.464,0.85,0.847,0.926,0.284,0.429,0.694,0.551,0.164,0.433,0.527,0.535,0.267,0.406,0.514,0.483,0.437,0.449,0.483,0.474,0.569,0.6,0.625,0.192,0.538,0.405,0.593,0.372,0.507,0.341,0.492,0.336,0.757,0.391,0.25
168,NaN,0.594,0.5,0.202,0.317,0.457,0.453,0.235,0.46,0.518,0.593,0.191,0.558,0.621,0.185,0.526,0.856,0.249,0.536,0.752,0.497,0.476,0.538,0.408,0.311,0.191,0.649,0.439,0.608,0.577,0.536,0.544,0.58,0.65,0.6,0.515,0.547,0.465,0.456,0.199,1.194,0.283,0.526,0.636,0.208,0.534,0.563,0.607,1.401,0.817,0.328,0.32,0.464,0.864,0.184,0.574,0.303,0.441,0.35,1.114,0.81,0.668,0.479,0.873,0.898,0.964,0.235,0.43,0.699,0.573,0.161,0.238,0.528,0.531,0.28,0.399,0.38,0.486,0.414,0.445,0.483,0.477,0.568,0.596,0.642,0.186,0.537,0.404,0.591,0.48,0.533,0.32,0.498,0.2,0.784,0.38,0.243
192,NaN,0.592,0.509,0.199,0.321,0.46,0.445,0.224,0.453,0.505,0.584,0.396,0.554,0.623,0.192,0.426,0.876,0.238,0.535,0.751,0.487,0.471,0.553,0.387,0.272,0.17,0.649,0.436,0.608,0.558,0.556,0.575,0.616,0.672,0.633,0.55,0.575,0.463,0.432,0.192,1.216,0.44,0.522,0.663,0.246,0.539,0.597,0.624,1.454,0.827,0.353,0.33,0.464,0.857,0.18,0.593,0.331,0.462,0.389,1.151,0.879,0.667,0.492,0.897,0.957,0.988,0.227,0.449,0.733,0.593,0.205,0.222,0.545,0.536,0.301,0.399,0.339,0.491,0.381,0.451,0.488,0.51,0.609,0.629,0.669,0.186,0.536,0.405,0.592,0.557,0.553,0.295,0.512,0.186,0.788,0.381,0.246
