Time,T600,A1,A10,A11,A12,A2,A3,A4,A5,A6,A7,A8,A9,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C11,C12,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E8,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H4,H5,H6,H7,H8,H9
0,NaN,0.472,0.617,0.488,0.638,0.381,0.501,0.534,0.291,0.364,0.297,0.378,0.373,0.27,0.475,0.428,0.381,0.371,0.34,0.422,0.432,0.627,0.369,0.505,0.357,0.321,0.559,0.422,0.474,0.207,0.547,0.344,0.495,0.416,0.676,1.066,0.609,0.401,0.649,0.7,0.625,0.315,0.415,0.518,0.494,0.27,0.375,0.516,0.742,0.464,0.542,0.433,0.252,0.409,0.383,0.32,0.534,0.322,0.356,0.465,0.71,0.266,1.074,0.611,0.533,0.383,0.568,0.39,0.399,0.22,0.833,0.282,0.544,0.248,0.21,0.406,0.499,0.241,0.296,0.351,0.386,0.329,1.161,0.497,0.359,0.373,0.376,0.259,0.241,0.425,0.429,0.382,0.388,0.405,0.428,0.361,0.477
20,NaN,0.408,0.632,0.499,0.647,0.388,0.497,0.544,0.272,0.361,0.28,0.357,0.367,0.265,0.46,0.427,0.364,0.36,0.334,0.423,0.421,0.636,0.352,0.498,0.343,0.318,0.559,0.417,0.447,0.193,0.568,0.322,0.509,0.422,0.699,1.2,0.62,0.396,0.665,0.721,0.623,0.295,0.403,0.546,0.507,0.262,0.361,0.514,0.756,0.448,0.559,0.405,0.229,0.41,0.376,0.31,0.552,0.295,0.343,0.461,0.718,0.238,1.032,0.625,0.525,0.379,0.582,0.373,0.349,0.212,0.904,0.347,0.544,0.228,0.198,0.422,0.51,0.22,0.283,0.332,0.416,0.337,1.239,0.486,0.343,0.371,0.367,0.237,0.217,0.409,0.416,0.391,0.373,0.397,0.419,0.358,0.481
24,NaN,0.408,0.644,0.502,0.651,0.39,0.499,0.548,0.273,0.359,0.283,0.35,0.374,0.267,0.463,0.428,0.366,0.367,0.34,0.424,0.424,0.64,0.352,0.494,0.346,0.319,0.567,0.413,0.447,0.191,0.576,0.314,0.512,0.426,0.704,1.213,0.63,0.398,0.673,0.718,0.623,0.298,0.407,0.549,0.509,0.26,0.36,0.522,0.76,0.447,0.56,0.421,0.24,0.417,0.378,0.313,0.552,0.294,0.345,0.465,0.717,0.241,1.022,0.638,0.532,0.385,0.59,0.378,0.355,0.212,0.91,0.355,0.54,0.231,0.196,0.424,0.518,0.224,0.284,0.331,0.412,0.336,1.253,0.487,0.343,0.37,0.366,0.236,0.215,0.411,0.417,0.388,0.375,0.396,0.42,0.358,0.49
28,NaN,0.401,0.645,0.506,0.657,0.389,0.504,0.554,0.275,0.362,0.283,0.35,0.374,0.263,0.461,0.433,0.368,0.37,0.344,0.428,0.422,0.647,0.351,0.5,0.344,0.318,0.574,0.42,0.451,0.189,0.594,0.32,0.522,0.432,0.716,1.23,0.632,0.407,0.673,0.727,0.642,0.299,0.408,0.554,0.518,0.27,0.368,0.522,0.766,0.456,0.564,0.419,0.242,0.423,0.386,0.314,0.566,0.296,0.345,0.465,0.719,0.239,0.99,0.638,0.537,0.395,0.596,0.378,0.358,0.214,0.922,0.354,0.547,0.229,0.194,0.44,0.534,0.224,0.286,0.338,0.413,0.345,1.263,0.49,0.351,0.378,0.369,0.231,0.214,0.41,0.417,0.391,0.377,0.398,0.423,0.362,0.497
48,NaN,0.416,0.667,0.54,0.677,0.412,0.523,0.598,0.312,0.381,0.314,0.373,0.38,0.264,0.467,0.468,0.401,0.402,0.358,0.438,0.436,0.678,0.373,0.527,0.391,0.348,0.6,0.537,0.458,0.185,0.848,0.314,0.543,0.449,0.77,1.386,0.673,0.465,0.687,0.754,0.675,0.321,0.428,0.582,0.551,0.31,0.415,0.548,0.796,0.498,0.608,0.434,0.254,0.472,0.41,0.338,0.599,0.32,0.356,0.487,0.74,0.257,0.791,0.656,0.545,0.6,0.641,0.377,0.403,0.254,1.005,0.364,0.588,0.243,0.216,0.657,0.987,0.231,0.309,0.35,0.443,0.366,1.281,0.502,0.39,0.4,0.384,0.234,0.215,0.418,0.421,0.403,0.4,0.402,0.444,0.446,0.545
72,NaN,0.415,0.359,0.552,0.671,0.44,0.525,0.637,0.64,0.389,0.394,0.431,0.384,0.267,0.471,0.616,0.584,0.424,0.406,0.443,0.438,0.693,0.373,0.553,0.517,0.344,0.601,0.546,0.464,0.189,1.532,0.313,0.468,0.459,1.022,1.696,0.697,0.923,0.36,0.749,0.742,0.32,0.431,0.598,0.549,0.68,0.598,0.561,0.809,0.701,0.624,0.455,0.267,0.52,0.41,0.336,0.598,0.329,0.389,0.498,0.725,0.275,0.531,0.67,0.56,1.129,0.771,0.377,0.799,0.388,1.132,0.36,0.742,0.35,0.321,1.266,1.674,0.24,0.372,0.373,0.539,0.376,1.281,0.509,0.483,0.43,0.389,0.238,0.224,0.414,0.422,0.399,0.416,0.398,0.443,0.72,0.457
96,NaN,0.42,0.248,0.569,0.627,0.463,0.527,0.661,0.644,0.393,0.471,0.469,0.388,0.268,0.475,0.786,0.76,0.441,0.462,0.434,0.449,0.7,0.37,0.577,0.845,0.347,0.61,0.551,0.474,0.185,1.866,0.306,0.324,0.445,1.268,1.773,0.734,1.364,0.24,0.734,0.803,0.319,0.433,0.595,0.547,0.947,0.732,0.564,0.819,0.899,0.644,0.462,0.255,0.545,0.409,0.338,0.593,0.329,0.404,0.505,0.51,0.296,0.743,0.69,0.573,1.419,0.915,0.377,1.291,0.587,1.185,0.368,0.894,0.497,0.395,1.485,1.692,0.229,0.427,0.408,0.713,0.385,1.283,0.514,0.61,0.447,0.419,0.243,0.229,0.4,0.425,0.395,0.411,0.396,0.444,0.898,0.425
120,NaN,0.358,0.21,0.585,0.239,0.478,0.533,0.708,0.598,0.402,0.575,0.566,0.387,0.273,0.478,1.12,1.175,0.456,0.532,0.268,0.486,0.719,0.371,0.631,1.095,0.346,0.618,0.562,0.494,0.182,2.143,0.308,0.318,0.349,1.682,1.811,0.801,2.055,0.233,0.395,0.902,0.322,0.433,0.589,0.552,1.368,1.032,0.566,0.834,1.419,0.666,0.384,0.25,0.592,0.414,0.338,0.586,0.34,0.471,0.509,0.274,0.341,0.933,0.69,0.588,1.68,1.263,0.378,1.585,0.641,1.218,0.366,1.01,0.88,0.401,1.863,1.7,0.236,0.547,0.494,1.054,0.418,1.283,0.513,0.735,0.493,0.516,0.238,0.256,0.374,0.424,0.391,0.409,0.398,0.45,0.939,0.508
144,NaN,0.229,0.206,0.618,0.202,0.358,0.533,0.734,0.657,0.416,0.67,0.653,0.391,0.27,0.473,1.397,1.644,0.487,0.597,0.214,0.563,0.734,0.368,0.686,1.206,0.357,0.626,0.57,0.529,0.181,2.172,0.302,0.26,0.248,1.75,1.835,0.885,2.158,0.225,0.249,0.997,0.32,0.438,0.594,0.543,1.485,1.218,0.576,0.841,1.671,0.695,0.322,0.25,0.616,0.414,0.343,0.427,0.342,0.585,0.512,0.247,0.381,1.033,0.691,0.603,1.68,1.567,0.373,1.554,0.705,1.229,0.371,1.073,1.258,0.392,1.921,1.691,0.228,0.589,0.556,1.528,0.447,1.28,0.514,0.798,0.546,0.655,0.244,0.271,0.272,0.426,0.39,0.403,0.398,0.45,0.954,0.672
168,NaN,0.207,0.209,0.637,0.204,0.348,0.538,0.763,0.675,0.427,0.643,0.887,0.383,0.267,0.486,1.429,1.742,0.506,0.617,0.203,0.668,0.757,0.364,0.763,1.257,0.359,0.634,0.587,0.571,0.18,2.16,0.305,0.278,0.221,1.746,1.859,0.992,2.259,0.192,0.214,1.059,0.318,0.431,0.591,0.549,1.51,1.362,0.574,0.861,2.022,0.721,0.297,0.265,0.636,0.42,0.341,0.326,0.351,0.761,0.517,0.236,0.444,1.087,0.473,0.623,1.682,1.725,0.37,1.532,0.71,1.228,0.363,1.127,1.559,0.421,1.908,1.697,0.225,0.665,0.678,1.845,0.49,1.282,0.517,0.831,0.604,0.76,0.249,0.303,0.202,0.432,0.386,0.4,0.398,0.449,0.922,0.712
