Time,T600,A1,A10,A11,A12,A2,A3,A4,A5,A6,A7,A8,A9,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C11,C12,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E8,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H4,H5,H6,H7,H8,H9
0,NaN,0.386,0.756,0.718,1,0.427,0.407,0.558,0.311,0.376,0.231,0.312,0.321,0.291,0.454,0.758,0.329,0.602,0.34,0.599,0.42,0.479,0.37,0.265,0.315,0.324,0.732,0.69,0.42,0.163,0.573,0.468,0.499,1.017,0.758,1.025,0.703,0.404,0.773,0.765,0.479,0.308,0.278,0.477,0.457,0.24,0.318,0.45,0.763,0.387,0.54,0.474,0.474,0.367,0.424,0.293,0.535,0.335,0.309,0.394,0.78,0.222,1.038,0.707,0.492,0.36,0.635,0.415,0.327,0.182,0.533,0.351,0.504,0.253,0.167,0.474,0.506,0.233,0.254,0.409,0.289,0.278,1.21,0.417,0.286,0.404,0.4,0.317,0.238,0.419,0.465,0.412,0.347,0.246,0.405,0.359,0.438
20,NaN,0.387,0.807,0.783,1.043,0.454,0.43,0.591,0.308,0.417,0.232,0.34,0.396,0.281,0.443,0.797,0.332,0.636,0.339,0.646,0.442,0.552,0.233,0.268,0.321,0.326,0.771,0.731,0.418,0.161,0.633,0.467,0.564,1.073,0.836,1.157,0.76,0.416,0.837,0.819,0.487,0.323,0.281,0.489,0.535,0.249,0.355,0.477,0.828,0.382,0.59,0.444,0.525,0.429,0.433,0.291,0.556,0.337,0.312,0.42,0.814,0.222,0.956,0.75,0.517,0.394,0.685,0.412,0.328,0.176,0.58,0.181,0.545,0.258,0.166,0.518,0.571,0.231,0.249,0.409,0.295,0.299,1.292,0.43,0.287,0.437,0.419,0.336,0.225,0.417,0.5,0.412,0.339,0.242,0.435,0.398,0.472
24,NaN,0.389,0.812,0.801,1.023,0.457,0.44,0.597,0.313,0.426,0.235,0.34,0.395,0.287,0.449,0.812,0.336,0.651,0.34,0.664,0.45,0.565,0.229,0.267,0.325,0.324,0.784,0.746,0.424,0.161,0.646,0.478,0.585,1.087,0.853,1.183,0.779,0.418,0.831,0.825,0.495,0.331,0.285,0.493,0.596,0.254,0.351,0.487,0.817,0.388,0.606,0.452,0.526,0.436,0.452,0.29,0.575,0.347,0.314,0.425,0.84,0.227,0.944,0.763,0.494,0.401,0.701,0.413,0.332,0.178,0.598,0.189,0.549,0.257,0.166,0.532,0.594,0.23,0.248,0.416,0.296,0.295,1.297,0.434,0.289,0.443,0.424,0.337,0.226,0.415,0.489,0.421,0.347,0.243,0.44,0.371,0.477
28,NaN,0.393,0.816,0.816,1.024,0.464,0.442,0.603,0.322,0.437,0.239,0.345,0.398,0.289,0.45,0.819,0.338,0.66,0.342,0.67,0.455,0.579,0.231,0.268,0.326,0.326,0.791,0.755,0.427,0.161,0.67,0.479,0.612,1.096,0.866,1.204,0.79,0.42,0.838,0.833,0.5,0.335,0.29,0.502,0.682,0.262,0.353,0.494,0.816,0.391,0.615,0.452,0.527,0.447,0.46,0.29,0.607,0.348,0.314,0.428,0.846,0.228,0.917,0.772,0.486,0.409,0.711,0.411,0.335,0.178,0.603,0.193,0.552,0.259,0.167,0.541,0.629,0.234,0.249,0.418,0.298,0.295,1.296,0.439,0.288,0.447,0.424,0.341,0.227,0.415,0.488,0.424,0.353,0.242,0.443,0.366,0.479
48,NaN,0.417,0.865,0.885,1.091,0.496,0.47,0.65,0.507,0.495,0.255,0.389,0.417,0.29,0.454,0.864,0.366,0.702,0.374,0.686,0.467,0.657,0.254,0.271,0.398,0.353,0.83,0.783,0.441,0.16,1.145,0.48,0.874,1.123,0.929,1.391,0.875,0.439,0.887,0.876,0.519,0.347,0.312,0.523,1.068,0.28,0.378,0.529,0.873,0.442,0.657,0.452,0.529,0.5,0.467,0.291,0.963,0.339,0.32,0.457,0.867,0.233,0.732,0.806,0.493,0.456,0.753,0.418,0.394,0.186,0.661,0.198,0.577,0.272,0.174,0.686,1.46,0.255,0.259,0.436,0.322,0.324,1.307,0.454,0.303,0.504,0.433,0.369,0.236,0.426,0.515,0.452,0.369,0.243,0.456,0.383,0.491
72,NaN,0.421,0.9,0.928,1.112,0.51,0.47,0.683,0.822,0.522,0.218,0.597,0.444,0.291,0.452,0.885,0.415,0.73,0.506,0.696,0.463,0.692,0.248,0.261,0.728,0.347,0.848,0.78,0.44,0.159,1.624,0.475,1.02,1.12,0.935,1.66,1.076,0.447,0.903,0.897,0.515,0.351,0.312,0.528,1.312,0.296,0.394,0.538,0.894,0.528,0.681,0.451,0.531,0.536,0.462,0.294,1.517,0.198,0.315,0.464,0.875,0.23,0.471,0.817,0.479,0.484,0.769,0.421,0.679,0.189,0.824,0.186,0.581,0.224,0.175,0.992,2.011,0.256,0.262,0.447,0.346,0.33,1.304,0.451,0.314,0.561,0.428,0.376,0.238,0.444,0.532,0.497,0.365,0.243,0.449,0.396,0.489
96,NaN,0.419,0.918,0.964,1.115,0.516,0.472,0.703,0.827,0.536,0.188,0.714,0.454,0.296,0.453,0.885,0.467,0.748,0.635,0.687,0.46,0.708,0.284,0.254,0.942,0.351,0.861,0.78,0.432,0.158,1.843,0.478,1.069,1.114,0.918,1.74,1.188,0.439,0.907,0.91,0.513,0.357,0.312,0.526,1.334,0.322,0.4,0.547,0.904,0.553,0.697,0.446,0.53,0.552,0.464,0.294,1.769,0.197,0.291,0.467,0.875,0.224,0.314,0.831,0.462,0.511,0.789,0.424,0.844,0.192,0.948,0.181,0.582,0.199,0.177,1.196,2.148,0.252,0.264,0.45,0.348,0.326,1.307,0.448,0.337,0.454,0.421,0.383,0.234,0.5,0.567,0.59,0.363,0.241,0.441,0.403,0.489
120,NaN,0.416,0.956,1.016,1.079,0.526,0.473,0.738,0.788,0.551,0.178,0.874,0.491,0.301,0.459,0.864,0.676,0.779,0.809,0.702,0.462,0.727,0.315,0.181,1.252,0.328,0.884,0.632,0.391,0.155,2.056,0.483,1.018,0.582,0.514,1.806,1.346,0.349,0.916,0.933,0.513,0.353,0.311,0.526,1.282,0.418,0.42,0.555,0.9,0.566,0.725,0.457,0.531,0.579,0.47,0.3,1.855,0.195,0.18,0.468,0.904,0.227,0.35,0.848,0.422,0.561,0.799,0.427,1.046,0.206,1.123,0.177,0.577,0.191,0.178,1.476,2.199,0.242,0.259,0.45,0.367,0.316,1.303,0.444,0.363,0.332,0.412,0.403,0.231,0.686,0.622,0.859,0.361,0.241,0.357,0.41,0.488
144,NaN,0.417,0.991,1.048,1.045,0.538,0.478,0.771,0.741,0.571,0.183,1.162,0.539,0.301,0.457,0.411,0.847,0.796,0.965,0.655,0.461,0.749,0.311,0.165,1.306,0.291,0.891,0.312,0.27,0.154,2.162,0.48,1.021,0.261,0.313,1.851,1.414,0.243,0.949,0.959,0.511,0.346,0.312,0.526,1.283,0.62,0.435,0.565,0.937,0.581,0.751,0.449,0.533,0.602,0.463,0.296,1.744,0.193,0.17,0.475,0.896,0.222,0.477,0.869,0.337,0.609,0.823,0.428,1.071,0.226,1.141,0.175,0.565,0.186,0.187,1.745,2.221,0.241,0.259,0.453,0.385,0.299,1.307,0.445,0.399,0.335,0.393,0.422,0.23,1.021,0.795,1.173,0.36,0.241,0.235,0.431,0.492
168,NaN,0.417,1.027,1.096,0.613,0.549,0.484,0.804,0.731,0.587,0.187,1.68,0.631,0.305,0.46,0.248,1.058,0.825,0.979,0.413,0.463,0.768,0.326,0.161,1.323,0.239,0.885,0.237,0.217,0.153,2.276,0.481,1.012,0.22,0.262,1.883,1.44,0.223,0.967,0.988,0.511,0.333,0.315,0.527,1.276,0.851,0.449,0.578,0.954,0.598,0.782,0.449,0.538,0.625,0.464,0.296,1.706,0.191,0.167,0.479,0.905,0.223,0.55,0.895,0.244,0.659,0.845,0.422,1.109,0.253,1.139,0.174,0.384,0.186,0.197,1.888,2.234,0.241,0.262,0.451,0.399,0.249,1.307,0.439,0.446,0.382,0.249,0.446,0.229,1.3,1.375,1.466,0.356,0.238,0.203,0.465,0.497
