Time,T600,A1,A10,A11,A12,A2,A3,A4,A5,A6,A7,A8,A9,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C11,C12,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E8,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H4,H5,H6,H7,H8,H9
0,NaN,0.433,0.396,0.266,0.243,0.455,0.472,0.476,0.346,0.513,0.641,0.311,0.547,0.523,0.39,0.378,0.414,0.307,0.444,0.568,0.444,0.373,0.378,0.562,0.379,0.45,0.416,0.375,0.4,0.487,0.441,0.434,0.455,0.382,0.404,0.414,0.324,0.417,0.362,0.272,1.033,0.535,0.407,0.505,0.377,0.453,0.381,0.461,0.531,1.026,0.261,0.262,0.376,0.501,0.2,0.318,0.303,0.376,0.407,0.346,0.358,0.391,0.377,0.445,0.425,0.586,0.414,0.641,0.475,0.408,0.182,0.347,0.379,0.563,0.417,0.323,0.378,0.327,0.308,0.389,0.334,0.338,0.399,0.409,0.539,0.359,0.512,0.382,0.314,0.265,0.33,0.363,0.445,0.324,0.276,0.346,0.33
20,NaN,0.438,0.399,0.26,0.239,0.428,0.342,0.479,0.337,0.528,0.352,0.22,0.571,0.509,0.379,0.37,0.464,0.3,0.445,0.555,0.44,0.372,0.375,0.552,0.379,0.448,0.412,0.376,0.394,0.482,0.438,0.422,0.452,0.373,0.407,0.418,0.323,0.414,0.344,0.259,1.064,0.523,0.402,0.499,0.372,0.444,0.375,0.459,0.621,0.991,0.263,0.249,0.364,0.683,0.177,0.317,0.278,0.358,0.391,0.337,0.374,0.374,0.363,0.491,0.477,0.62,0.405,0.712,0.489,0.392,0.167,0.339,0.418,0.626,0.426,0.317,0.424,0.309,0.295,0.381,0.325,0.33,0.398,0.407,0.53,0.339,0.504,0.371,0.306,0.205,0.324,0.36,0.463,0.307,0.296,0.306,0.296
24,NaN,0.438,0.398,0.26,0.237,0.435,0.332,0.482,0.339,0.533,0.351,0.235,0.571,0.528,0.377,0.379,0.471,0.301,0.446,0.597,0.44,0.375,0.376,0.554,0.376,0.45,0.413,0.373,0.395,0.487,0.442,0.425,0.459,0.376,0.408,0.42,0.325,0.418,0.346,0.253,1.085,0.531,0.403,0.502,0.375,0.447,0.378,0.463,0.629,0.987,0.259,0.249,0.367,0.666,0.178,0.322,0.278,0.351,0.395,0.335,0.374,0.377,0.367,0.508,0.49,0.623,0.408,0.719,0.484,0.395,0.165,0.339,0.423,0.631,0.44,0.317,0.417,0.313,0.295,0.382,0.323,0.327,0.397,0.401,0.481,0.345,0.503,0.373,0.309,0.202,0.323,0.362,0.463,0.311,0.303,0.197,0.3
28,NaN,0.44,0.399,0.261,0.237,0.438,0.33,0.483,0.34,0.53,0.351,0.315,0.552,0.528,0.378,0.381,0.476,0.301,0.446,0.602,0.441,0.378,0.377,0.556,0.377,0.451,0.416,0.375,0.396,0.488,0.443,0.427,0.459,0.376,0.409,0.421,0.326,0.42,0.347,0.255,1.099,0.537,0.404,0.503,0.376,0.453,0.378,0.466,0.639,0.975,0.26,0.251,0.367,0.665,0.182,0.324,0.277,0.355,0.399,0.337,0.375,0.379,0.368,0.519,0.498,0.631,0.41,0.734,0.486,0.395,0.165,0.346,0.427,0.638,0.446,0.311,0.415,0.309,0.291,0.384,0.328,0.328,0.398,0.405,0.437,0.345,0.504,0.374,0.309,0.197,0.324,0.365,0.465,0.313,0.312,0.201,0.297
48,NaN,0.442,0.4,0.264,0.236,0.441,0.335,0.487,0.34,0.531,0.351,0.257,0.561,0.534,0.381,0.384,0.489,0.305,0.451,0.602,0.439,0.38,0.378,0.562,0.378,0.455,0.423,0.378,0.399,0.49,0.445,0.429,0.461,0.378,0.412,0.424,0.326,0.423,0.348,0.255,1.107,0.54,0.404,0.506,0.377,0.454,0.379,0.466,0.662,0.968,0.262,0.253,0.365,0.664,0.181,0.333,0.275,0.357,0.402,0.34,0.377,0.382,0.37,0.559,0.525,0.653,0.409,0.742,0.491,0.395,0.162,0.346,0.438,0.647,0.459,0.31,0.42,0.314,0.295,0.387,0.328,0.328,0.4,0.406,0.345,0.346,0.506,0.374,0.31,0.194,0.326,0.371,0.471,0.315,0.327,0.199,0.292
72,NaN,0.448,0.41,0.269,0.239,0.47,0.327,0.488,0.34,0.558,0.369,0.257,0.566,0.538,0.385,0.391,0.513,0.324,0.459,0.629,0.442,0.387,0.381,0.567,0.383,0.464,0.427,0.388,0.406,0.501,0.457,0.438,0.473,0.388,0.423,0.425,0.332,0.435,0.355,0.257,1.123,0.55,0.404,0.516,0.386,0.463,0.388,0.463,0.705,0.983,0.269,0.255,0.368,0.688,0.182,0.359,0.275,0.356,0.397,0.34,0.385,0.393,0.376,0.648,0.57,0.698,0.414,0.738,0.498,0.398,0.161,0.336,0.444,0.664,0.473,0.315,0.435,0.319,0.29,0.393,0.331,0.328,0.406,0.412,0.27,0.356,0.519,0.38,0.318,0.196,0.334,0.367,0.476,0.313,0.359,0.189,0.29
96,NaN,0.45,0.414,0.261,0.24,0.448,0.27,0.492,0.348,0.55,0.363,0.147,0.578,0.553,0.392,0.385,0.527,0.334,0.452,0.606,0.442,0.387,0.391,0.569,0.378,0.471,0.429,0.392,0.413,0.504,0.46,0.444,0.477,0.392,0.429,0.425,0.332,0.439,0.359,0.261,1.131,0.554,0.402,0.521,0.39,0.466,0.394,0.445,0.702,0.959,0.27,0.257,0.368,0.691,0.182,0.373,0.274,0.354,0.397,0.347,0.388,0.395,0.381,0.696,0.586,0.723,0.408,0.739,0.499,0.387,0.16,0.303,0.451,0.663,0.481,0.319,0.428,0.322,0.287,0.398,0.328,0.321,0.41,0.413,0.172,0.303,0.52,0.38,0.321,0.185,0.336,0.373,0.481,0.313,0.374,0.181,0.29
120,NaN,0.455,0.421,0.256,0.241,0.467,0.212,0.498,0.356,0.551,0.371,0.15,0.586,0.555,0.396,0.389,0.539,0.372,0.456,0.63,0.447,0.395,0.391,0.575,0.381,0.479,0.438,0.4,0.418,0.512,0.468,0.452,0.484,0.402,0.436,0.422,0.34,0.444,0.363,0.268,1.129,0.556,0.384,0.528,0.394,0.47,0.404,0.315,0.724,0.954,0.281,0.261,0.369,0.691,0.178,0.394,0.274,0.351,0.404,0.353,0.394,0.402,0.387,0.774,0.616,0.758,0.369,0.739,0.505,0.342,0.159,0.199,0.456,0.674,0.481,0.327,0.454,0.325,0.22,0.4,0.331,0.318,0.413,0.426,0.16,0.221,0.528,0.382,0.336,0.174,0.343,0.371,0.49,0.318,0.395,0.191,0.29
144,NaN,0.458,0.426,0.254,0.24,0.482,0.175,0.502,0.363,0.544,0.379,0.152,0.581,0.451,0.4,0.389,0.548,0.391,0.452,0.63,0.448,0.401,0.396,0.578,0.383,0.482,0.443,0.406,0.422,0.518,0.476,0.459,0.488,0.409,0.443,0.377,0.346,0.448,0.367,0.27,1.141,0.559,0.294,0.534,0.4,0.471,0.411,0.227,0.738,0.952,0.285,0.263,0.37,0.694,0.178,0.414,0.274,0.345,0.407,0.357,0.396,0.407,0.392,0.835,0.638,0.78,0.237,0.741,0.509,0.225,0.162,0.177,0.462,0.68,0.485,0.331,0.457,0.329,0.181,0.404,0.333,0.292,0.416,0.431,0.158,0.213,0.533,0.385,0.34,0.162,0.349,0.364,0.495,0.321,0.413,0.186,0.29
168,NaN,0.461,0.429,0.255,0.24,0.498,0.168,0.506,0.363,0.499,0.382,0.152,0.587,0.312,0.397,0.373,0.562,0.398,0.392,0.63,0.444,0.405,0.402,0.577,0.385,0.485,0.447,0.41,0.424,0.522,0.481,0.466,0.486,0.413,0.447,0.257,0.35,0.451,0.37,0.271,1.132,0.562,0.218,0.538,0.404,0.473,0.432,0.204,0.762,0.951,0.288,0.266,0.371,0.704,0.18,0.433,0.275,0.319,0.41,0.359,0.402,0.412,0.398,0.89,0.664,0.808,0.196,0.74,0.511,0.193,0.162,0.174,0.467,0.688,0.486,0.335,0.455,0.326,0.179,0.41,0.332,0.217,0.418,0.436,0.156,0.172,0.538,0.387,0.344,0.157,0.353,0.323,0.499,0.323,0.431,0.178,0.29
